DATE,2018.02.21 10:56
Lot No,L820169      
Bar No,1
Result,NO GOOD
Defect H,9
Defect L,8
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
71,910,0.30,0.51,0.11,0.27,0.24,0.28,0.30,0.20,0.51,0.15,0.33,0.28,0,0
72,923,0.45,0.51,0.45,0.23,0.28,0.25,0.14,0.36,0.29,0.16,0.51,0.25,0,0
73,936,0.35,1.02,0.30,0.31,0.35,0.17,0.27,0.29,0.30,1.02,0.31,0.50,0,0
74,949,0.38,0.82,0.38,0.33,0.19,0.33,0.27,0.29,0.82,0.19,0.65,0.20,0,0
75,962,0.41,0.87,0.25,0.41,0.33,0.31,0.34,0.87,0.18,0.36,0.16,0.27,0,0
76,975,0.53,0.30,0.47,0.32,0.37,0.33,0.53,0.18,0.30,0.12,0.16,0.22,0,0
77,988,0.31,0.37,0.31,0.22,0.18,0.20,0.16,0.36,0.18,0.24,0.26,0.37,0,0
78,1001,0.71,0.43,0.15,0.24,0.71,0.21,0.39,0.43,0.29,0.19,0.31,0.41,0,0
79,1014,0.39,0.46,0.39,0.20,0.32,0.36,0.21,0.42,0.46,0.15,0.38,0.23,0,0
80,1027,0.25,0.50,0.19,0.15,0.23,0.25,0.24,0.39,0.21,0.41,0.27,0.50,0,0
81,1040,0.29,0.23,0.12,0.29,0.09,0.26,0.17,0.21,0.22,0.23,0.23,0.12,0,0
82,1053,0.35,0.51,0.35,0.23,0.30,0.22,0.16,0.36,0.22,0.30,0.29,0.51,0,0
83,1066,0.31,0.61,0.11,0.26,0.31,0.17,0.24,0.21,0.59,0.25,0.61,0.39,0,0
84,1079,0.43,0.69,0.26,0.43,0.23,0.24,0.28,0.69,0.31,0.26,0.28,0.20,0,0
85,1092,0.66,0.31,0.28,0.22,0.66,0.23,0.49,0.24,0.31,0.27,0.16,0.25,0,0
86,1105,0.67,0.40,0.17,0.30,0.37,0.67,0.34,0.18,0.40,0.12,0.18,0.20,0,0
87,1118,0.58,0.55,0.22,0.21,0.58,0.36,0.34,0.43,0.15,0.55,0.47,0.12,0,0
88,1131,0.53,0.51,0.12,0.25,0.53,0.21,0.28,0.33,0.33,0.49,0.51,0.19,0,0
89,1144,0.47,0.44,0.28,0.12,0.18,0.47,0.18,0.22,0.23,0.44,0.28,0.33,0,0
90,1157,0.40,0.49,0.16,0.08,0.40,0.22,0.38,0.31,0.15,0.20,0.29,0.49,0,0
91,1170,0.53,0.30,0.27,0.53,0.28,0.39,0.32,0.23,0.30,0.29,0.27,0.26,0,0
92,1183,0.58,0.41,0.31,0.28,0.49,0.58,0.25,0.30,0.26,0.41,0.25,0.24,0,0
93,1196,0.58,0.42,0.27,0.47,0.37,0.58,0.34,0.23,0.42,0.38,0.25,0.36,0,0
94,1209,0.43,0.86,0.43,0.43,0.22,0.30,0.30,0.27,0.86,0.17,0.52,0.26,0,0
95,1222,0.58,0.27,0.38,0.49,0.58,0.21,0.26,0.27,0.23,0.23,0.16,0.27,0,0
96,1235,0.40,0.43,0.40,0.16,0.32,0.36,0.14,0.41,0.43,0.27,0.42,0.36,0,0
97,1248,0.42,0.62,0.42,0.40,0.22,0.20,0.24,0.31,0.55,0.58,0.62,0.53,0,0
98,1261,0.55,0.78,0.16,0.55,0.16,0.23,0.39,0.31,0.53,0.78,0.58,0.41,0,0
99,1274,0.45,0.79,0.45,0.24,0.23,0.22,0.20,0.30,0.22,0.79,0.45,0.28,0,0
100,1287,0.30,0.94,0.25,0.20,0.30,0.11,0.15,0.24,0.25,0.45,0.31,0.94,0,0
101,1300,0.43,0.88,0.22,0.43,0.12,0.22,0.11,0.23,0.52,0.47,0.88,0.49,0,0
102,1313,0.30,0.67,0.30,0.18,0.20,0.12,0.20,0.24,0.30,0.67,0.50,0.18,0,0
103,1326,0.32,0.55,0.23,0.21,0.15,0.26,0.32,0.36,0.46,0.40,0.24,0.55,0,0
104,1339,0.42,0.58,0.12,0.09,0.08,0.42,0.22,0.24,0.18,0.57,0.58,0.15,0,0
105,1352,0.51,0.48,0.27,0.07,0.38,0.16,0.51,0.48,0.24,0.42,0.34,0.24,0,0
106,1365,0.46,0.77,0.38,0.46,0.21,0.25,0.37,0.49,0.77,0.32,0.36,0.28,0,0
107,1378,0.72,0.78,0.45,0.10,0.31,0.72,0.55,0.78,0.24,0.50,0.34,0.23,0,0
108,1391,0.63,0.47,0.14,0.16,0.63,0.30,0.40,0.24,0.46,0.40,0.34,0.47,0,0
109,1404,0.84,0.57,0.38,0.84,0.20,0.37,0.24,0.51,0.44,0.57,0.45,0.19,0,0
110,1417,0.85,0.46,0.12,0.85,0.41,0.22,0.35,0.28,0.37,0.46,0.45,0.19,0,0
111,1430,0.43,0.40,0.15,0.37,0.43,0.26,0.30,0.40,0.20,0.29,0.32,0.16,0,0
112,1443,0.34,0.29,0.15,0.16,0.29,0.27,0.34,0.28,0.11,0.29,0.19,0.10,0,0
113,1456,0.26,0.44,0.26,0.22,0.12,0.17,0.12,0.22,0.24,0.24,0.16,0.44,0,0
114,1469,0.36,0.67,0.36,0.23,0.18,0.19,0.13,0.29,0.25,0.17,0.67,0.14,0,0
115,1482,0.32,0.61,0.14,0.29,0.32,0.17,0.30,0.15,0.18,0.61,0.23,0.52,0,0
116,1495,0.30,0.71,0.28,0.26,0.11,0.30,0.10,0.71,0.60,0.43,0.35,0.27,0,0
117,1508,0.58,0.54,0.36,0.37,0.17,0.18,0.58,0.54,0.48,0.32,0.43,0.16,0,0
118,1521,0.40,0.42,0.26,0.21,0.25,0.10,0.40,0.16,0.22,0.22,0.32,0.42,0,0
119,1534,0.34,0.37,0.18,0.34,0.23,0.32,0.19,0.34,0.37,0.23,0.29,0.37,0,0
120,1547,0.39,0.50,0.22,0.35,0.39,0.23,0.34,0.37,0.28,0.50,0.25,0.30,0,0
121,1560,0.35,0.83,0.29,0.31,0.23,0.23,0.35,0.35,0.83,0.47,0.48,0.34,0,0
122,1573,0.39,1.14,0.39,0.17,0.19,0.23,0.27,0.50,0.39,0.97,1.14,0.14,0,0
123,1586,0.43,2.02,0.15,0.43,0.15,0.34,0.31,0.34,0.29,2.02,0.83,0.47,0,0
124,1599,0.32,1.46,0.29,0.32,0.28,0.30,0.32,0.54,0.25,1.46,0.50,0.44,0,0
125,1612,0.44,0.48,0.22,0.40,0.44,0.36,0.38,0.32,0.23,0.48,0.42,0.20,0,0
126,1625,0.55,0.41,0.26,0.29,0.55,0.26,0.32,0.32,0.41,0.35,0.36,0.36,0,0
127,1638,0.33,0.49,0.28,0.23,0.33,0.18,0.17,0.49,0.36,0.25,0.32,0.46,0,0
128,1651,0.41,0.37,0.35,0.25,0.16,0.18,0.41,0.36,0.37,0.21,0.25,0.29,0,0
129,1664,0.41,0.47,0.32,0.14,0.18,0.41,0.25,0.47,0.42,0.32,0.34,0.23,0,0
130,1677,0.54,0.36,0.19,0.12,0.36,0.16,0.54,0.36,0.32,0.30,0.32,0.16,0,0
131,1690,0.58,0.30,0.11,0.58,0.29,0.33,0.32,0.30,0.22,0.23,0.21,0.20,0,0
132,1703,0.47,0.36,0.30,0.46,0.47,0.36,0.18,0.26,0.11,0.21,0.36,0.09,0,0
133,1716,0.32,0.41,0.28,0.28,0.24,0.25,0.32,0.30,0.28,0.17,0.41,0.32,0,0
134,1729,0.51,0.51,0.34,0.51,0.48,0.46,0.40,0.16,0.20,0.20,0.49,0.51,0,0
135,1742,0.43,0.79,0.42,0.29,0.34,0.43,0.42,0.30,0.16,0.79,0.69,0.43,0,0
136,1755,0.38,0.85,0.38,0.26,0.30,0.29,0.21,0.37,0.47,0.85,0.38,0.25,0,0
137,1768,0.44,0.46,0.43,0.44,0.23,0.22,0.38,0.34,0.32,0.46,0.36,0.21,0,0
138,1781,0.67,0.32,0.67,0.39,0.11,0.12,0.43,0.32,0.32,0.24,0.30,0.25,0,0
139,1794,0.45,0.90,0.34,0.44,0.14,0.45,0.17,0.90,0.45,0.27,0.34,0.31,0,0
140,1807,0.65,0.56,0.20,0.17,0.24,0.65,0.19,0.31,0.56,0.31,0.35,0.47,0,0
141,1820,0.42,0.46,0.15,0.24,0.42,0.36,0.32,0.25,0.26,0.46,0.29,0.40,0,0
142,1833,0.37,0.37,0.28,0.37,0.33,0.31,0.20,0.19,0.31,0.22,0.37,0.35,0,0
143,1846,0.74,0.52,0.43,0.29,0.23,0.15,0.74,0.52,0.35,0.24,0.29,0.25,0,0
144,1859,0.58,0.56,0.24,0.57,0.58,0.37,0.35,0.39,0.20,0.27,0.56,0.24,0,0
145,1872,0.43,0.41,0.23,0.26,0.32,0.23,0.43,0.16,0.15,0.25,0.41,0.23,0,0
146,1885,0.43,0.46,0.16,0.36,0.41,0.43,0.39,0.46,0.19,0.33,0.30,0.14,0,0
147,1898,0.38,0.50,0.23,0.38,0.36,0.31,0.29,0.50,0.28,0.23,0.20,0.12,0,0
148,1911,0.78,0.46,0.78,0.38,0.18,0.32,0.32,0.46,0.25,0.31,0.46,0.26,0,0
149,1924,0.65,0.50,0.65,0.49,0.18,0.40,0.24,0.15,0.33,0.32,0.50,0.34,0,0
150,1937,0.48,0.55,0.39,0.22,0.48,0.15,0.23,0.19,0.27,0.41,0.55,0.44,0,0
151,1950,0.67,0.44,0.14,0.20,0.67,0.44,0.30,0.30,0.27,0.44,0.39,0.27,0,0
152,1963,0.38,0.48,0.20,0.38,0.35,0.31,0.11,0.24,0.17,0.48,0.24,0.11,0,0
153,1976,0.48,0.52,0.30,0.43,0.48,0.33,0.22,0.52,0.26,0.46,0.32,0.18,0,0
154,1989,0.51,0.61,0.33,0.20,0.51,0.16,0.20,0.35,0.61,0.31,0.27,0.33,0,0
155,2002,0.65,0.39,0.21,0.65,0.25,0.41,0.30,0.39,0.17,0.32,0.39,0.31,0,0
156,2015,0.31,0.73,0.31,0.18,0.26,0.25,0.12,0.14,0.24,0.73,0.65,0.38,0,0
157,2028,0.67,0.73,0.67,0.46,0.36,0.17,0.09,0.33,0.53,0.62,0.73,0.36,0,0
158,2041,0.61,0.69,0.45,0.61,0.30,0.17,0.17,0.35,0.49,0.69,0.63,0.42,0,0
159,2054,0.52,0.55,0.52,0.36,0.33,0.26,0.46,0.37,0.38,0.55,0.55,0.32,0,0
160,2067,0.37,0.43,0.14,0.13,0.37,0.37,0.21,0.40,0.38,0.36,0.41,0.43,0,0
161,2080,0.68,0.83,0.10,0.68,0.58,0.43,0.29,0.69,0.42,0.83,0.48,0.28,0,0
162,2093,0.50,0.89,0.38,0.50,0.44,0.27,0.18,0.43,0.64,0.59,0.89,0.21,0,0
163,2106,0.31,0.53,0.24,0.31,0.23,0.30,0.26,0.53,0.52,0.42,0.20,0.38,0,0
164,2119,0.44,1.06,0.23,0.44,0.18,0.33,0.29,0.34,1.06,0.50,0.32,0.13,0,0
165,2132,0.43,0.71,0.19,0.43,0.17,0.26,0.16,0.71,0.26,0.20,0.54,0.24,0,0
166,2145,0.47,0.66,0.15,0.22,0.47,0.22,0.28,0.24,0.28,0.66,0.45,0.51,0,0
167,2158,0.48,0.62,0.25,0.46,0.28,0.22,0.48,0.42,0.57,0.22,0.62,0.37,0,0
168,2171,0.34,0.48,0.33,0.20,0.27,0.22,0.34,0.48,0.32,0.38,0.38,0.31,0,0
169,2184,0.85,0.50,0.24,0.23,0.85,0.22,0.27,0.25,0.23,0.25,0.27,0.50,0,0
170,2197,1.41,0.63,0.32,1.41,0.27,0.33,0.19,0.28,0.26,0.27,0.63,0.54,0,0
171,2210,0.81,1.06,0.81,0.34,0.24,0.32,0.49,0.38,0.39,1.06,0.50,0.36,0,0
172,2223,0.52,0.62,0.52,0.46,0.17,0.31,0.25,0.19,0.62,0.37,0.35,0.20,0,0
173,2236,0.52,0.38,0.45,0.40,0.29,0.52,0.13,0.37,0.11,0.23,0.27,0.38,0,0
174,2249,0.42,0.37,0.27,0.28,0.35,0.42,0.34,0.20,0.20,0.30,0.25,0.37,0,0
175,2262,0.42,0.39,0.42,0.16,0.17,0.28,0.20,0.15,0.22,0.39,0.30,0.31,0,0
176,2275,0.34,0.80,0.14,0.27,0.34,0.26,0.24,0.32,0.35,0.56,0.80,0.26,0,0
177,2288,0.38,0.60,0.18,0.22,0.38,0.33,0.30,0.41,0.60,0.29,0.43,0.43,0,0
178,2301,0.41,0.61,0.18,0.34,0.31,0.27,0.41,0.61,0.23,0.25,0.14,0.23,0,0
179,2314,0.35,0.60,0.16,0.26,0.25,0.30,0.35,0.60,0.22,0.24,0.20,0.23,0,0
180,2327,0.84,0.30,0.16,0.20,0.50,0.39,0.84,0.18,0.28,0.16,0.30,0.16,0,0
181,2340,0.33,0.37,0.14,0.20,0.26,0.33,0.31,0.37,0.31,0.32,0.19,0.24,0,0
182,2353,1.09,0.42,1.09,0.41,0.31,0.51,0.39,0.42,0.31,0.17,0.33,0.18,0,0
183,2366,0.43,0.40,0.39,0.19,0.43,0.36,0.25,0.40,0.15,0.39,0.22,0.22,0,0
184,2379,0.53,0.35,0.18,0.45,0.46,0.21,0.53,0.21,0.35,0.27,0.24,0.21,0,0
185,2392,0.56,0.28,0.28,0.23,0.26,0.56,0.20,0.16,0.20,0.20,0.28,0.12,0,0
186,2405,0.53,0.48,0.53,0.39,0.34,0.41,0.16,0.23,0.10,0.13,0.21,0.48,0,0
187,2418,0.78,0.32,0.41,0.78,0.54,0.25,0.27,0.09,0.12,0.32,0.28,0.26,0,0
188,2431,0.75,0.38,0.65,0.36,0.12,0.75,0.08,0.17,0.19,0.38,0.38,0.19,0,0
189,2444,0.42,0.96,0.41,0.19,0.42,0.13,0.14,0.23,0.43,0.37,0.43,0.96,0,0
190,2457,0.36,0.76,0.36,0.12,0.25,0.24,0.17,0.21,0.58,0.39,0.76,0.50,0,0
191,2470,0.45,0.62,0.17,0.15,0.45,0.29,0.35,0.62,0.35,0.51,0.24,0.11,0,0
192,2483,0.29,0.47,0.22,0.29,0.26,0.26,0.16,0.47,0.31,0.19,0.22,0.34,0,0
193,2496,0.61,1.11,0.61,0.34,0.33,0.28,0.24,0.63,0.37,1.11,0.43,0.10,0,0
194,2509,0.52,0.53,0.13,0.13,0.19,0.10,0.52,0.23,0.42,0.38,0.29,0.53,0,0
195,2522,0.33,0.45,0.21,0.12,0.20,0.24,0.33,0.20,0.26,0.16,0.45,0.23,0,0
196,2535,0.58,0.34,0.10,0.14,0.16,0.58,0.25,0.16,0.22,0.34,0.33,0.26,0,0
197,2548,0.48,0.72,0.15,0.21,0.33,0.48,0.16,0.72,0.53,0.55,0.42,0.17,0,0
198,2561,0.38,0.61,0.23,0.38,0.33,0.15,0.26,0.61,0.34,0.38,0.23,0.20,0,0
199,2574,0.34,0.51,0.20,0.16,0.26,0.29,0.34,0.26,0.51,0.11,0.28,0.29,0,0
200,2587,0.39,0.43,0.30,0.16,0.19,0.39,0.08,0.20,0.22,0.19,0.43,0.29,0,0
201,2600,0.47,0.51,0.22,0.47,0.31,0.34,0.26,0.42,0.13,0.47,0.49,0.51,0,0
202,2613,0.62,1.73,0.36,0.62,0.19,0.28,0.26,0.29,1.73,0.36,0.35,0.28,0,0
203,2626,0.34,0.95,0.34,0.23,0.19,0.21,0.14,0.46,0.95,0.16,0.38,0.59,0,0
204,2639,0.48,0.75,0.28,0.24,0.43,0.31,0.48,0.14,0.39,0.28,0.75,0.47,0,0
205,2652,0.61,0.49,0.24,0.26,0.17,0.61,0.26,0.11,0.17,0.40,0.49,0.28,0,0
206,2665,0.69,0.52,0.69,0.61,0.31,0.23,0.21,0.19,0.12,0.48,0.50,0.52,0,0
207,2678,0.49,0.56,0.18,0.21,0.49,0.25,0.15,0.15,0.53,0.22,0.56,0.25,0,0
208,2691,0.58,1.02,0.47,0.58,0.14,0.44,0.28,0.29,0.26,1.02,0.49,0.43,0,0
209,2704,0.51,0.47,0.30,0.39,0.13,0.32,0.51,0.20,0.28,0.46,0.36,0.47,0,0
210,2717,0.36,1.32,0.15,0.23,0.13,0.36,0.22,1.32,0.71,0.84,0.73,0.84,0,0
211,2730,0.22,0.68,0.20,0.13,0.22,0.14,0.21,0.27,0.68,0.53,0.29,0.23,0,0
212,2743,0.41,0.66,0.28,0.39,0.23,0.32,0.41,0.13,0.66,0.23,0.30,0.39,0,0
213,2756,0.81,0.66,0.27,0.13,0.37,0.32,0.81,0.66,0.55,0.19,0.42,0.16,0,0
214,2769,0.83,0.47,0.39,0.45,0.55,0.57,0.83,0.32,0.47,0.24,0.34,0.14,0,0
215,2782,0.55,0.62,0.32,0.44,0.31,0.55,0.16,0.40,0.19,0.20,0.62,0.15,0,0
216,2795,0.51,0.47,0.51,0.37,0.44,0.12,0.18,0.38,0.10,0.47,0.32,0.34,0,0
217,2808,0.62,0.50,0.21,0.62,0.32,0.27,0.21,0.50,0.34,0.33,0.44,0.40,0,0
218,2821,0.58,0.63,0.39,0.16,0.58,0.19,0.20,0.63,0.22,0.47,0.57,0.41,0,0
219,2834,0.64,0.67,0.42,0.30,0.08,0.12,0.64,0.42,0.39,0.34,0.67,0.32,0,0
220,2847,0.56,0.81,0.19,0.23,0.18,0.56,0.16,0.79,0.44,0.19,0.81,0.27,0,0
221,2860,0.40,0.98,0.14,0.34,0.40,0.35,0.18,0.22,0.98,0.40,0.37,0.28,0,0
222,2873,0.37,0.49,0.19,0.32,0.37,0.20,0.11,0.35,0.49,0.19,0.28,0.48,0,0
223,2886,0.52,0.84,0.52,0.41,0.33,0.27,0.30,0.40,0.13,0.40,0.84,0.13,0,0
224,2899,0.32,0.78,0.21,0.18,0.19,0.18,0.32,0.19,0.70,0.43,0.39,0.78,0,0
225,2912,0.46,0.51,0.20,0.19,0.46,0.40,0.13,0.42,0.30,0.19,0.51,0.42,0,0
226,2925,0.52,0.77,0.28,0.10,0.52,0.36,0.24,0.43,0.77,0.29,0.45,0.21,0,0
227,2938,0.54,0.39,0.31,0.23,0.12,0.54,0.12,0.27,0.30,0.17,0.39,0.20,0,0
228,2951,0.60,0.32,0.37,0.13,0.60,0.25,0.27,0.25,0.28,0.31,0.32,0.25,0,0
229,2964,0.56,0.80,0.18,0.56,0.20,0.20,0.16,0.14,0.42,0.27,0.80,0.40,0,0
230,2977,0.41,0.60,0.41,0.31,0.18,0.39,0.15,0.28,0.34,0.35,0.60,0.21,0,0
231,2990,0.32,0.64,0.18,0.23,0.21,0.20,0.32,0.35,0.22,0.34,0.39,0.64,0,0
232,3003,0.33,0.50,0.16,0.33,0.13,0.20,0.24,0.36,0.50,0.39,0.21,0.16,0,0
233,3016,0.36,0.65,0.32,0.20,0.31,0.36,0.34,0.58,0.39,0.65,0.46,0.27,0,0
234,3029,0.40,0.44,0.36,0.25,0.26,0.40,0.30,0.24,0.39,0.22,0.21,0.44,0,0
235,3042,0.27,0.52,0.26,0.14,0.27,0.27,0.12,0.17,0.14,0.33,0.52,0.15,0,0
236,3055,0.28,1.51,0.16,0.28,0.28,0.11,0.12,0.17,0.20,1.51,0.18,0.31,0,0
237,3068,0.37,0.50,0.33,0.37,0.32,0.11,0.16,0.23,0.37,0.20,0.50,0.23,0,0
238,3081,0.30,0.96,0.30,0.17,0.15,0.09,0.13,0.96,0.24,0.46,0.64,0.40,0,0
239,3094,0.20,0.92,0.13,0.20,0.11,0.14,0.18,0.20,0.28,0.39,0.92,0.34,0,0
240,3107,0.33,0.47,0.13,0.25,0.16,0.33,0.08,0.30,0.38,0.16,0.47,0.28,0,0
241,3120,0.51,0.37,0.11,0.20,0.36,0.21,0.51,0.22,0.25,0.37,0.23,0.17,0,0
242,3133,0.39,0.40,0.21,0.39,0.19,0.20,0.14,0.20,0.40,0.19,0.34,0.15,0,0
