DATE,2018.02.21 11:00
Lot No,L820169      
Bar No,3
Result,NO GOOD
Defect H,2
Defect L,0
No,Point,A-OR,B-OR,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5,Event H,Event L
50,637,0.68,0.65,0.32,0.68,0.29,0.09,0.10,0.31,0.64,0.65,0.39,0.17,0,0
51,650,0.45,0.74,0.45,0.42,0.15,0.10,0.11,0.74,0.65,0.43,0.35,0.27,0,0
52,663,0.35,0.45,0.31,0.25,0.35,0.21,0.16,0.38,0.29,0.35,0.45,0.39,0,0
53,676,0.33,0.46,0.33,0.15,0.12,0.25,0.26,0.38,0.28,0.46,0.43,0.26,0,0
54,689,0.32,0.66,0.23,0.20,0.27,0.32,0.22,0.66,0.46,0.40,0.44,0.17,0,0
55,702,0.34,0.44,0.16,0.19,0.19,0.33,0.34,0.20,0.19,0.42,0.44,0.31,0,0
56,715,0.34,0.42,0.12,0.21,0.18,0.34,0.34,0.28,0.27,0.42,0.30,0.10,0,0
57,728,0.37,0.40,0.37,0.30,0.32,0.36,0.28,0.33,0.34,0.40,0.14,0.23,0,0
58,741,0.57,0.27,0.37,0.57,0.29,0.34,0.13,0.26,0.15,0.18,0.25,0.27,0,0
59,754,0.58,0.36,0.18,0.41,0.29,0.58,0.32,0.36,0.12,0.35,0.25,0.22,0,0
60,767,0.73,0.40,0.73,0.43,0.47,0.19,0.20,0.16,0.28,0.20,0.34,0.40,0,0
61,780,0.39,0.29,0.10,0.39,0.33,0.29,0.16,0.29,0.21,0.24,0.15,0.15,0,0
62,793,0.34,0.26,0.24,0.34,0.22,0.30,0.17,0.18,0.19,0.26,0.13,0.14,0,0
63,806,0.22,0.20,0.15,0.15,0.16,0.22,0.15,0.14,0.11,0.20,0.12,0.11,0,0
64,819,0.34,0.64,0.12,0.17,0.11,0.21,0.34,0.64,0.14,0.35,0.37,0.12,0,0
65,832,0.54,0.42,0.09,0.12,0.18,0.23,0.54,0.42,0.38,0.18,0.16,0.12,0,0
66,845,0.32,0.44,0.19,0.14,0.14,0.23,0.32,0.44,0.24,0.13,0.11,0.18,0,0
67,858,0.46,0.41,0.14,0.10,0.20,0.13,0.46,0.41,0.19,0.20,0.34,0.20,0,0
68,871,0.39,0.35,0.26,0.31,0.15,0.39,0.39,0.16,0.35,0.14,0.22,0.30,0,0
69,884,0.51,0.35,0.23,0.35,0.51,0.25,0.19,0.32,0.15,0.22,0.35,0.15,0,0
70,897,0.24,0.27,0.14,0.24,0.13,0.12,0.16,0.19,0.27,0.22,0.26,0.21,0,0
71,910,0.31,0.39,0.31,0.24,0.14,0.11,0.12,0.19,0.34,0.39,0.27,0.13,0,0
72,923,0.25,0.55,0.25,0.12,0.17,0.14,0.18,0.49,0.55,0.22,0.41,0.34,0,0
73,936,0.32,1.05,0.26,0.32,0.15,0.29,0.18,0.33,1.05,0.88,0.30,0.29,0,0
74,949,0.37,0.95,0.32,0.21,0.18,0.37,0.33,0.17,0.95,0.15,0.26,0.56,0,0
75,962,0.31,1.06,0.23,0.16,0.25,0.18,0.31,0.67,0.53,0.61,0.23,1.06,0,0
76,975,0.37,0.42,0.12,0.37,0.21,0.32,0.28,0.41,0.42,0.33,0.41,0.29,0,0
77,988,0.60,0.28,0.28,0.60,0.26,0.34,0.20,0.27,0.28,0.17,0.21,0.11,0,0
78,1001,0.70,0.31,0.70,0.65,0.38,0.34,0.21,0.29,0.13,0.07,0.31,0.18,0,0
79,1014,0.62,0.33,0.62,0.26,0.44,0.25,0.32,0.17,0.10,0.14,0.33,0.18,0,0
80,1027,0.36,0.29,0.36,0.13,0.20,0.26,0.15,0.21,0.13,0.29,0.14,0.25,0,0
81,1040,0.25,0.26,0.25,0.13,0.17,0.15,0.07,0.24,0.20,0.19,0.19,0.26,0,0
82,1053,0.21,0.90,0.21,0.19,0.12,0.20,0.09,0.36,0.17,0.16,0.90,0.10,0,0
83,1066,0.23,1.34,0.15,0.23,0.16,0.13,0.15,0.26,0.29,1.34,0.47,0.41,0,0
84,1079,0.18,1.14,0.13,0.11,0.14,0.18,0.16,0.35,0.42,1.14,0.56,0.23,0,0
85,1092,0.20,0.58,0.11,0.10,0.12,0.20,0.13,0.26,0.17,0.40,0.58,0.09,0,0
86,1105,0.19,0.48,0.15,0.19,0.15,0.11,0.10,0.15,0.14,0.25,0.48,0.43,0,0
87,1118,0.54,0.62,0.54,0.18,0.19,0.11,0.09,0.16,0.12,0.18,0.62,0.11,0,0
88,1131,0.26,0.28,0.26,0.17,0.14,0.15,0.12,0.13,0.28,0.21,0.25,0.19,0,0
89,1144,0.33,0.57,0.33,0.22,0.11,0.09,0.17,0.23,0.21,0.36,0.57,0.38,0,0
90,1157,0.34,0.30,0.34,0.12,0.28,0.14,0.17,0.25,0.18,0.29,0.30,0.17,0,0
91,1170,0.43,0.49,0.16,0.25,0.10,0.43,0.17,0.27,0.49,0.16,0.30,0.36,0,0
92,1183,0.47,0.36,0.17,0.27,0.47,0.31,0.26,0.25,0.16,0.36,0.15,0.13,0,0
93,1196,0.25,0.40,0.11,0.25,0.23,0.20,0.17,0.27,0.24,0.40,0.34,0.24,0,0
94,1209,0.40,0.48,0.22,0.19,0.32,0.40,0.28,0.27,0.13,0.34,0.48,0.45,0,0
95,1222,0.44,0.37,0.44,0.37,0.31,0.27,0.30,0.16,0.17,0.21,0.33,0.37,0,0
96,1235,0.46,0.45,0.21,0.45,0.24,0.46,0.26,0.08,0.17,0.17,0.45,0.19,0,0
97,1248,0.38,0.35,0.34,0.21,0.38,0.26,0.16,0.34,0.35,0.21,0.20,0.11,0,0
98,1261,0.42,0.48,0.25,0.13,0.26,0.17,0.42,0.42,0.48,0.10,0.20,0.17,0,0
99,1274,0.35,0.49,0.17,0.24,0.34,0.34,0.35,0.49,0.11,0.13,0.23,0.20,0,0
100,1287,0.38,0.31,0.21,0.13,0.25,0.38,0.19,0.12,0.09,0.17,0.23,0.31,0,0
101,1300,0.45,0.41,0.10,0.45,0.18,0.14,0.19,0.16,0.27,0.29,0.41,0.26,0,0
102,1313,0.21,0.34,0.17,0.15,0.15,0.21,0.09,0.34,0.24,0.34,0.29,0.08,0,0
103,1326,0.50,0.40,0.12,0.12,0.23,0.19,0.50,0.18,0.23,0.15,0.40,0.33,0,0
104,1339,0.39,0.61,0.25,0.39,0.30,0.34,0.24,0.23,0.12,0.22,0.61,0.18,0,0
105,1352,0.39,0.34,0.20,0.25,0.17,0.37,0.39,0.31,0.34,0.31,0.32,0.13,0,0
106,1365,0.36,0.63,0.22,0.29,0.36,0.23,0.35,0.24,0.63,0.36,0.21,0.12,0,0
107,1378,0.39,0.52,0.33,0.39,0.31,0.37,0.12,0.29,0.14,0.52,0.27,0.19,0,0
108,1391,0.53,0.42,0.53,0.51,0.19,0.20,0.28,0.30,0.42,0.32,0.13,0.25,0,0
109,1404,0.67,0.44,0.58,0.67,0.21,0.47,0.10,0.26,0.22,0.37,0.44,0.20,0,0
110,1417,0.58,0.42,0.24,0.47,0.31,0.26,0.58,0.42,0.29,0.33,0.39,0.33,0,0
111,1430,0.21,0.54,0.12,0.21,0.14,0.16,0.13,0.35,0.54,0.26,0.21,0.38,0,0
112,1443,0.86,0.35,0.37,0.46,0.86,0.17,0.11,0.34,0.23,0.33,0.35,0.17,0,0
113,1456,0.70,0.36,0.36,0.48,0.70,0.18,0.20,0.22,0.28,0.36,0.23,0.24,0,0
114,1469,0.40,0.61,0.40,0.14,0.16,0.15,0.18,0.12,0.10,0.30,0.61,0.29,0,0
115,1482,0.26,0.25,0.15,0.26,0.26,0.18,0.12,0.18,0.21,0.25,0.22,0.15,0,0
116,1495,0.43,0.39,0.20,0.43,0.28,0.14,0.13,0.20,0.26,0.39,0.23,0.17,0,0
117,1508,0.39,0.29,0.39,0.32,0.38,0.21,0.20,0.21,0.09,0.19,0.24,0.29,0,0
118,1521,0.59,0.33,0.59,0.40,0.37,0.23,0.20,0.24,0.15,0.23,0.29,0.33,0,0
119,1534,0.59,0.62,0.59,0.42,0.17,0.30,0.26,0.14,0.14,0.53,0.62,0.14,0,0
120,1547,0.41,0.52,0.30,0.41,0.16,0.26,0.12,0.08,0.12,0.27,0.44,0.52,0,0
121,1560,0.52,0.52,0.52,0.28,0.14,0.17,0.11,0.15,0.33,0.25,0.52,0.52,0,0
122,1573,0.36,0.59,0.36,0.20,0.23,0.21,0.09,0.30,0.23,0.53,0.59,0.23,0,0
123,1586,0.30,0.47,0.30,0.19,0.19,0.28,0.29,0.31,0.29,0.15,0.39,0.47,0,0
124,1599,0.38,0.42,0.20,0.23,0.38,0.13,0.35,0.28,0.10,0.34,0.42,0.13,0,0
125,1612,0.33,0.70,0.24,0.24,0.27,0.33,0.10,0.27,0.18,0.70,0.55,0.14,0,0
126,1625,0.48,0.69,0.12,0.48,0.33,0.17,0.12,0.28,0.69,0.19,0.52,0.22,0,0
127,1638,0.40,0.36,0.33,0.40,0.23,0.16,0.11,0.26,0.32,0.33,0.36,0.19,0,0
128,1651,0.32,0.34,0.28,0.32,0.13,0.21,0.21,0.19,0.16,0.14,0.27,0.34,0,0
129,1664,0.45,0.66,0.45,0.37,0.09,0.25,0.34,0.24,0.13,0.20,0.66,0.29,0,0
130,1677,0.34,0.67,0.23,0.20,0.34,0.31,0.25,0.12,0.39,0.18,0.67,0.18,0,0
131,1690,0.35,0.41,0.35,0.27,0.11,0.17,0.09,0.21,0.41,0.22,0.23,0.30,0,0
132,1703,0.53,0.46,0.19,0.14,0.13,0.13,0.53,0.46,0.40,0.26,0.29,0.22,0,0
133,1716,0.38,0.34,0.07,0.16,0.14,0.38,0.36,0.24,0.26,0.29,0.28,0.34,0,0
134,1729,0.40,0.63,0.18,0.38,0.27,0.36,0.40,0.30,0.09,0.63,0.55,0.27,0,0
135,1742,0.43,0.38,0.38,0.30,0.38,0.43,0.19,0.26,0.12,0.33,0.38,0.21,0,0
136,1755,0.30,0.29,0.30,0.19,0.25,0.15,0.22,0.09,0.24,0.22,0.28,0.29,0,0
137,1768,0.33,0.36,0.20,0.28,0.33,0.29,0.24,0.36,0.27,0.32,0.30,0.22,0,0
138,1781,0.32,0.30,0.25,0.19,0.10,0.32,0.25,0.16,0.30,0.12,0.16,0.22,0,0
139,1794,0.32,0.38,0.32,0.25,0.13,0.21,0.28,0.38,0.29,0.31,0.24,0.38,0,0
140,1807,0.41,0.48,0.08,0.41,0.39,0.16,0.14,0.45,0.17,0.15,0.48,0.21,0,0
141,1820,0.34,0.38,0.24,0.30,0.34,0.21,0.12,0.11,0.26,0.35,0.38,0.25,0,0
142,1833,0.78,0.46,0.78,0.30,0.23,0.23,0.08,0.14,0.32,0.44,0.46,0.12,0,0
143,1846,0.63,0.41,0.63,0.16,0.08,0.11,0.21,0.24,0.21,0.21,0.41,0.28,0,0
144,1859,0.18,0.45,0.18,0.18,0.10,0.09,0.15,0.16,0.16,0.29,0.45,0.30,0,0
145,1872,0.46,0.45,0.10,0.46,0.12,0.16,0.20,0.18,0.15,0.39,0.45,0.41,0,0
146,1885,0.26,0.38,0.10,0.14,0.09,0.26,0.09,0.20,0.24,0.38,0.28,0.30,0,0
147,1898,0.33,0.34,0.16,0.15,0.12,0.33,0.10,0.17,0.30,0.23,0.34,0.11,0,0
148,1911,0.26,0.69,0.20,0.22,0.12,0.26,0.20,0.29,0.40,0.17,0.69,0.16,0,0
149,1924,0.41,0.41,0.40,0.28,0.14,0.10,0.41,0.32,0.28,0.27,0.34,0.41,0,0
150,1937,0.40,0.50,0.40,0.10,0.16,0.33,0.29,0.18,0.22,0.17,0.50,0.42,0,0
151,1950,0.32,1.10,0.32,0.28,0.13,0.24,0.17,0.09,0.23,0.40,0.29,1.10,0,0
152,1963,0.42,0.45,0.42,0.27,0.11,0.21,0.12,0.21,0.32,0.33,0.45,0.40,0,0
153,1976,0.24,0.48,0.24,0.24,0.13,0.16,0.23,0.32,0.40,0.48,0.48,0.27,0,0
154,1989,0.44,0.59,0.18,0.11,0.16,0.21,0.44,0.18,0.59,0.40,0.36,0.24,0,0
155,2002,0.36,0.69,0.10,0.21,0.20,0.36,0.23,0.69,0.17,0.34,0.29,0.14,0,0
156,2015,0.43,0.43,0.43,0.42,0.25,0.33,0.09,0.09,0.19,0.43,0.20,0.16,0,0
157,2028,0.33,0.31,0.33,0.21,0.20,0.13,0.09,0.15,0.19,0.17,0.31,0.14,0,0
158,2041,0.42,0.26,0.40,0.42,0.40,0.11,0.11,0.10,0.13,0.17,0.26,0.25,0,0
159,2054,0.56,0.58,0.14,0.56,0.18,0.19,0.14,0.16,0.20,0.16,0.58,0.40,0,0
160,2067,0.52,0.48,0.11,0.13,0.19,0.52,0.13,0.34,0.28,0.48,0.47,0.34,0,0
161,2080,0.33,0.64,0.16,0.33,0.23,0.23,0.22,0.16,0.40,0.51,0.64,0.21,0,0
162,2093,0.54,0.50,0.38,0.41,0.40,0.54,0.12,0.19,0.38,0.50,0.49,0.15,0,0
163,2106,0.46,0.53,0.19,0.46,0.33,0.40,0.20,0.53,0.22,0.29,0.19,0.33,0,0
164,2119,0.43,0.60,0.38,0.43,0.10,0.15,0.31,0.24,0.19,0.18,0.60,0.33,0,0
165,2132,0.53,0.69,0.14,0.20,0.53,0.22,0.10,0.31,0.20,0.10,0.69,0.16,0,0
166,2145,0.31,0.30,0.09,0.10,0.29,0.24,0.31,0.16,0.26,0.30,0.24,0.12,0,0
167,2158,0.35,0.31,0.21,0.35,0.22,0.30,0.29,0.31,0.26,0.24,0.22,0.24,0,0
168,2171,0.33,0.31,0.33,0.27,0.29,0.26,0.11,0.17,0.24,0.15,0.31,0.16,0,0
169,2184,0.46,0.35,0.24,0.46,0.31,0.26,0.14,0.35,0.25,0.15,0.14,0.12,0,0
170,2197,0.38,0.30,0.30,0.21,0.38,0.24,0.32,0.30,0.16,0.18,0.21,0.21,0,0
171,2210,0.31,0.24,0.24,0.30,0.31,0.20,0.20,0.10,0.18,0.20,0.23,0.24,0,0
172,2223,0.50,0.35,0.27,0.50,0.15,0.20,0.10,0.19,0.18,0.21,0.35,0.29,0,0
173,2236,0.37,0.57,0.31,0.37,0.30,0.12,0.16,0.15,0.25,0.27,0.38,0.57,0,0
174,2249,1.06,0.57,0.36,1.06,0.17,0.16,0.15,0.18,0.15,0.30,0.57,0.38,0,0
175,2262,0.43,0.45,0.43,0.13,0.19,0.16,0.16,0.10,0.35,0.26,0.45,0.26,0,0
176,2275,0.25,0.53,0.25,0.24,0.15,0.18,0.12,0.12,0.20,0.52,0.52,0.53,0,0
177,2288,0.29,0.41,0.14,0.29,0.13,0.09,0.14,0.10,0.18,0.14,0.40,0.41,0,0
178,2301,0.22,0.28,0.15,0.22,0.17,0.12,0.12,0.24,0.18,0.23,0.28,0.22,0,0
179,2314,0.37,0.53,0.21,0.09,0.13,0.11,0.37,0.17,0.33,0.13,0.53,0.17,0,0
180,2327,0.31,0.54,0.14,0.11,0.31,0.27,0.09,0.54,0.27,0.23,0.31,0.27,0,0
181,2340,0.33,0.67,0.08,0.22,0.33,0.13,0.17,0.22,0.67,0.26,0.26,0.16,0,0
182,2353,0.32,0.50,0.32,0.21,0.18,0.27,0.12,0.23,0.50,0.31,0.35,0.38,0,0
183,2366,0.48,0.77,0.48,0.13,0.14,0.11,0.12,0.62,0.55,0.77,0.64,0.47,0,0
184,2379,0.42,0.66,0.27,0.23,0.20,0.42,0.31,0.42,0.54,0.39,0.29,0.66,0,0
185,2392,0.56,0.43,0.41,0.56,0.17,0.26,0.31,0.27,0.43,0.34,0.37,0.20,0,0
186,2405,0.46,0.30,0.26,0.46,0.09,0.19,0.16,0.28,0.20,0.30,0.25,0.13,0,0
187,2418,0.33,0.30,0.15,0.21,0.33,0.13,0.25,0.12,0.30,0.26,0.21,0.19,0,0
188,2431,0.29,0.52,0.18,0.29,0.23,0.12,0.16,0.18,0.20,0.20,0.47,0.52,0,0
189,2444,0.27,0.41,0.27,0.17,0.19,0.26,0.20,0.28,0.33,0.34,0.33,0.41,0,0
190,2457,0.27,0.28,0.11,0.23,0.11,0.27,0.14,0.22,0.19,0.28,0.20,0.22,0,0
191,2470,0.64,0.38,0.17,0.15,0.31,0.14,0.64,0.16,0.13,0.38,0.19,0.18,0,0
192,2483,0.39,0.43,0.39,0.36,0.22,0.23,0.10,0.30,0.22,0.43,0.22,0.21,0,0
193,2496,0.39,0.41,0.39,0.19,0.22,0.14,0.17,0.34,0.14,0.22,0.41,0.23,0,0
194,2509,0.27,0.46,0.27,0.21,0.19,0.14,0.16,0.34,0.19,0.17,0.35,0.46,0,0
195,2522,0.27,0.37,0.27,0.27,0.11,0.27,0.10,0.15,0.27,0.22,0.37,0.14,0,0
196,2535,0.30,0.33,0.17,0.30,0.14,0.25,0.12,0.09,0.33,0.20,0.16,0.18,0,0
197,2548,0.39,0.31,0.18,0.33,0.39,0.27,0.27,0.30,0.24,0.26,0.31,0.14,0,0
198,2561,0.29,0.37,0.12,0.29,0.29,0.09,0.10,0.25,0.23,0.37,0.24,0.23,0,0
199,2574,0.50,0.30,0.31,0.50,0.24,0.23,0.10,0.16,0.20,0.12,0.19,0.30,0,0
200,2587,0.44,0.41,0.44,0.30,0.15,0.20,0.07,0.22,0.20,0.14,0.28,0.41,0,0
201,2600,0.42,0.44,0.37,0.23,0.42,0.20,0.19,0.35,0.17,0.32,0.27,0.44,0,0
202,2613,0.59,0.61,0.18,0.59,0.21,0.33,0.09,0.15,0.31,0.30,0.61,0.46,0,0
203,2626,0.43,2.95,0.40,0.23,0.43,0.33,0.06,0.42,0.75,2.95,0.61,0.31,0,0
204,2639,0.22,0.80,0.13,0.19,0.22,0.12,0.17,0.44,0.80,0.58,0.34,0.36,0,0
205,2652,0.24,0.51,0.20,0.22,0.09,0.24,0.12,0.14,0.51,0.14,0.46,0.25,0,0
206,2665,0.27,0.49,0.25,0.11,0.18,0.27,0.26,0.29,0.32,0.49,0.31,0.36,0,0
207,2678,0.36,0.38,0.10,0.13,0.18,0.36,0.25,0.19,0.33,0.30,0.38,0.12,0,0
208,2691,0.25,0.47,0.22,0.15,0.16,0.25,0.24,0.39,0.47,0.27,0.36,0.16,0,0
209,2704,0.30,0.43,0.16,0.28,0.26,0.30,0.27,0.26,0.30,0.43,0.31,0.24,0,0
210,2717,0.48,0.40,0.22,0.19,0.32,0.48,0.29,0.38,0.32,0.26,0.40,0.26,0,0
211,2730,0.35,0.66,0.35,0.32,0.35,0.22,0.19,0.28,0.62,0.66,0.23,0.15,0,0
212,2743,0.43,0.38,0.28,0.43,0.38,0.17,0.13,0.07,0.38,0.25,0.21,0.33,0,0
213,2756,0.43,0.57,0.18,0.23,0.19,0.15,0.43,0.38,0.18,0.57,0.28,0.20,0,0
214,2769,0.36,0.25,0.07,0.28,0.32,0.36,0.35,0.22,0.11,0.13,0.25,0.23,0,0
215,2782,0.60,0.37,0.28,0.36,0.40,0.60,0.11,0.15,0.09,0.24,0.37,0.14,0,0
216,2795,0.46,0.48,0.46,0.11,0.39,0.16,0.10,0.11,0.48,0.39,0.29,0.28,0,0
217,2808,0.54,1.06,0.43,0.16,0.15,0.54,0.12,1.06,0.31,0.19,0.51,0.27,0,0
218,2821,0.33,0.66,0.21,0.32,0.33,0.10,0.23,0.18,0.39,0.66,0.50,0.09,0,0
219,2834,0.34,0.50,0.20,0.34,0.23,0.31,0.16,0.11,0.26,0.30,0.50,0.31,0,0
220,2847,0.34,0.30,0.34,0.09,0.11,0.34,0.17,0.12,0.30,0.14,0.25,0.17,0,0
221,2860,0.22,0.42,0.22,0.12,0.18,0.22,0.10,0.21,0.13,0.42,0.33,0.22,0,0
222,2873,0.43,0.58,0.10,0.22,0.13,0.43,0.23,0.36,0.37,0.38,0.58,0.27,0,0
223,2886,0.34,0.39,0.26,0.10,0.34,0.33,0.12,0.29,0.39,0.39,0.28,0.27,0,0
224,2899,0.35,0.67,0.12,0.12,0.31,0.20,0.35,0.33,0.67,0.17,0.19,0.36,0,0
225,2912,0.47,0.46,0.15,0.17,0.20,0.47,0.25,0.24,0.15,0.46,0.36,0.17,0,0
226,2925,0.42,0.44,0.26,0.42,0.31,0.26,0.24,0.18,0.44,0.16,0.16,0.13,0,0
227,2938,0.30,0.55,0.24,0.30,0.20,0.16,0.20,0.21,0.55,0.16,0.24,0.19,0,0
228,2951,0.68,0.21,0.21,0.20,0.68,0.35,0.30,0.19,0.12,0.17,0.19,0.21,0,0
229,2964,0.42,0.47,0.31,0.18,0.12,0.39,0.42,0.17,0.14,0.13,0.16,0.47,0,0
230,2977,0.51,0.53,0.51,0.13,0.19,0.34,0.09,0.37,0.24,0.53,0.46,0.41,0,0
231,2990,0.24,0.73,0.15,0.24,0.19,0.08,0.10,0.11,0.34,0.47,0.47,0.73,0,0
232,3003,0.21,0.38,0.15,0.21,0.09,0.12,0.08,0.18,0.34,0.24,0.38,0.11,0,0
233,3016,0.19,0.51,0.19,0.13,0.16,0.11,0.07,0.31,0.51,0.46,0.27,0.25,0,0
234,3029,0.28,0.50,0.09,0.15,0.09,0.17,0.28,0.30,0.50,0.16,0.49,0.14,0,0
235,3042,0.22,0.67,0.17,0.10,0.15,0.13,0.22,0.67,0.21,0.30,0.30,0.09,0,0
236,3055,0.42,0.26,0.13,0.14,0.42,0.13,0.13,0.21,0.12,0.26,0.18,0.23,0,0
237,3068,0.34,0.25,0.25,0.34,0.28,0.16,0.25,0.12,0.25,0.12,0.20,0.08,0,0
238,3081,0.63,0.17,0.27,0.38,0.63,0.21,0.28,0.17,0.07,0.13,0.11,0.15,0,0
239,3094,0.74,0.27,0.29,0.74,0.45,0.37,0.56,0.12,0.27,0.09,0.14,0.27,0,0
240,3107,0.59,0.59,0.59,0.25,0.10,0.16,0.11,0.10,0.15,0.19,0.28,0.59,0,0
241,3120,0.47,0.46,0.34,0.47,0.16,0.25,0.11,0.14,0.19,0.45,0.30,0.46,0,0
242,3133,0.18,0.63,0.14,0.13,0.08,0.18,0.10,0.14,0.32,0.33,0.29,0.63,0,0
