No,Point,CH-A1,CH-A2,CH-A3,CH-A4,CH-A5,CH-B1,CH-B2,CH-B3,CH-B4,CH-B5
26,325.0,0.16,0.25,0.22,0.13,0.13,0.27,0.27,0.21,0.25,0.17
27,338.0,0.14,0.43,0.19,0.11,0.08,0.27,0.21,0.14,0.25,0.09
28,351.0,0.16,0.17,0.2,0.13,0.1,0.11,0.37,0.25,0.32,0.08
29,364.0,0.64,0.14,0.16,0.1,0.08,0.23,0.22,0.14,0.15,0.11
30,377.0,0.15,0.31,0.45,0.1,0.07,0.08,0.23,0.27,0.14,0.1
31,390.0,0.11,0.22,0.22,0.16,0.13,0.14,0.36,0.18,0.15,0.12
32,403.0,0.11,0.07,0.06,0.13,0.1,0.09,0.14,0.17,0.14,0.15
33,416.0,0.14,0.13,0.27,0.12,0.18,0.09,0.23,0.41,0.19,0.14
34,429.0,0.14,0.13,0.14,0.26,0.08,0.11,0.11,0.25,0.37,0.11
35,442.0,0.12,0.09,0.17,0.2,0.1,0.1,0.1,0.07,0.15,0.14
36,455.0,0.16,0.18,0.12,0.14,0.18,0.25,0.15,0.23,0.16,0.17
37,468.0,0.25,0.18,0.18,0.26,0.2,0.24,0.16,0.27,0.28,0.14
38,481.0,0.13,0.16,0.24,0.12,0.24,0.36,0.26,0.15,0.23,0.19
39,494.0,0.1,0.12,0.1,0.21,0.13,0.35,0.8,0.65,0.44,0.3
40,507.0,0.29,0.08,0.19,0.16,0.16,0.53,0.4,0.35,0.7,0.16
41,520.0,0.07,0.17,0.16,0.24,0.24,0.48,0.43,0.17,0.25,0.21
42,533.0,0.14,0.19,0.17,0.16,0.36,0.54,0.58,0.22,0.19,0.2
43,546.0,0.14,0.24,0.06,0.24,0.21,0.2,0.44,0.53,0.17,0.16
44,559.0,0.15,0.1,0.13,0.08,0.11,0.21,0.37,0.23,0.09,0.08
45,572.0,0.11,0.23,0.08,0.09,0.13,0.15,0.17,0.33,0.33,0.11
46,585.0,0.26,0.18,0.25,0.18,0.34,0.28,0.22,0.29,0.4,0.31
47,598.0,0.17,0.24,0.14,0.22,0.12,0.36,0.28,0.34,0.71,0.36
48,611.0,0.22,0.22,0.14,0.31,0.16,0.19,0.18,0.38,0.39,0.37
49,624.0,0.22,0.15,0.12,0.19,0.12,0.15,0.15,0.2,0.28,0.25
50,637.0,0.32,0.18,0.1,0.08,0.27,0.08,0.12,0.16,0.16,0.17
51,650.0,0.45,0.68,0.29,0.16,0.16,0.13,0.13,0.13,0.11,0.19
52,663.0,0.31,0.42,0.29,0.38,0.2,0.24,0.13,0.14,0.23,0.15
53,676.0,0.33,0.25,0.15,0.09,0.1,0.16,0.19,0.25,0.18,0.19
54,689.0,0.23,0.15,0.35,0.1,0.1,0.1,0.32,0.34,0.13,0.25
55,702.0,0.16,0.2,0.12,0.21,0.11,0.31,0.49,0.16,0.37,0.15
56,715.0,0.12,0.19,0.27,0.25,0.16,0.74,0.64,0.38,0.25,0.23
57,728.0,0.37,0.21,0.19,0.32,0.26,0.38,0.65,0.65,0.64,0.29
58,741.0,0.37,0.3,0.18,0.33,0.22,0.38,0.29,0.43,0.39,0.29
59,754.0,0.18,0.57,0.32,0.34,0.34,0.66,0.28,0.35,0.35,0.17
60,767.0,0.73,0.41,0.29,0.36,0.34,0.2,0.46,0.46,0.45,0.27
61,780.0,0.1,0.43,0.29,0.34,0.28,0.28,0.19,0.4,0.43,0.39
62,793.0,0.24,0.39,0.47,0.58,0.13,0.33,0.27,0.42,0.44,0.26
63,806.0,0.15,0.34,0.33,0.19,0.32,0.26,0.34,0.42,0.44,0.17
64,819.0,0.12,0.15,0.22,0.29,0.2,0.36,0.15,0.4,0.3,0.31
65,832.0,0.09,0.17,0.16,0.3,0.16,0.16,0.12,0.18,0.14,0.1
66,845.0,0.19,0.12,0.11,0.22,0.17,0.29,0.28,0.35,0.25,0.23
67,858.0,0.14,0.14,0.18,0.21,0.15,0.18,0.21,0.2,0.25,0.27
68,871.0,0.26,0.1,0.14,0.23,0.34,0.14,0.19,0.24,0.34,0.22
69,884.0,0.23,0.31,0.2,0.23,0.54,0.64,0.11,0.26,0.15,0.4
70,897.0,0.14,0.35,0.15,0.13,0.32,0.42,0.14,0.2,0.13,0.15
71,910.0,0.31,0.24,0.51,0.39,0.46,0.44,0.38,0.35,0.12,0.14
72,923.0,0.25,0.24,0.13,0.25,0.39,0.41,0.24,0.18,0.37,0.11
73,936.0,0.26,0.12,0.14,0.12,0.19,0.16,0.19,0.13,0.16,0.12
74,949.0,0.32,0.32,0.17,0.11,0.16,0.32,0.35,0.2,0.11,0.12
75,962.0,0.23,0.21,0.15,0.14,0.12,0.19,0.15,0.14,0.34,0.18
76,975.0,0.12,0.16,0.18,0.29,0.18,0.19,0.27,0.22,0.22,0.2
77,988.0,0.28,0.37,0.25,0.37,0.18,0.49,0.34,0.22,0.35,0.3
78,1001.0,0.7,0.6,0.21,0.18,0.33,0.33,0.55,0.39,0.26,0.15
79,1014.0,0.62,0.65,0.26,0.32,0.31,0.17,1.05,0.22,0.27,0.21
80,1027.0,0.36,0.26,0.38,0.34,0.28,0.67,0.95,0.88,0.41,0.13
81,1040.0,0.25,0.13,0.44,0.34,0.2,0.41,0.53,0.15,0.3,0.34
82,1053.0,0.21,0.13,0.2,0.25,0.21,0.27,0.42,0.61,0.26,0.29
83,1066.0,0.15,0.19,0.17,0.26,0.32,0.29,0.28,0.33,0.23,0.56
84,1079.0,0.13,0.23,0.12,0.15,0.15,0.17,0.13,0.17,0.41,1.06
85,1092.0,0.11,0.11,0.16,0.2,0.07,0.21,0.1,0.07,0.21,0.29
86,1105.0,0.15,0.1,0.14,0.13,0.09,0.24,0.13,0.14,0.31,0.11
87,1118.0,0.54,0.19,0.12,0.18,0.15,0.36,0.2,0.29,0.33,0.18
88,1131.0,0.26,0.18,0.15,0.2,0.16,0.26,0.17,0.19,0.14,0.18
89,1144.0,0.33,0.17,0.19,0.11,0.13,0.35,0.29,0.16,0.19,0.25
90,1157.0,0.34,0.22,0.14,0.11,0.1,0.26,0.42,1.34,0.9,0.26
91,1170.0,0.16,0.12,0.11,0.15,0.09,0.15,0.17,1.14,0.47,0.1
92,1183.0,0.17,0.25,0.28,0.09,0.12,0.16,0.14,0.4,0.56,0.41
93,1196.0,0.11,0.27,0.1,0.14,0.17,0.13,0.12,0.25,0.58,0.23
94,1209.0,0.22,0.25,0.47,0.43,0.17,0.23,0.28,0.18,0.48,0.09
95,1222.0,0.44,0.19,0.23,0.31,0.17,0.25,0.21,0.21,0.62,0.43
96,1235.0,0.21,0.37,0.32,0.2,0.26,0.27,0.18,0.36,0.25,0.11
97,1248.0,0.34,0.45,0.31,0.4,0.17,0.25,0.49,0.29,0.57,0.19
98,1261.0,0.25,0.21,0.24,0.27,0.28,0.27,0.16,0.16,0.3,0.38
99,1274.0,0.17,0.13,0.38,0.46,0.3,0.27,0.24,0.36,0.3,0.17
100,1287.0,0.21,0.24,0.26,0.26,0.26,0.16,0.13,0.4,0.15,0.36
101,1300.0,0.1,0.13,0.34,0.17,0.16,0.08,0.17,0.34,0.34,0.13
102,1313.0,0.17,0.45,0.25,0.34,0.42,0.34,0.17,0.21,0.48,0.24
103,1326.0,0.12,0.15,0.18,0.38,0.35,0.42,0.35,0.17,0.33,0.45
104,1339.0,0.25,0.12,0.15,0.14,0.19,0.49,0.48,0.21,0.45,0.37
105,1352.0,0.2,0.39,0.23,0.21,0.19,0.12,0.11,0.1,0.2,0.19
106,1365.0,0.22,0.25,0.3,0.19,0.09,0.16,0.09,0.13,0.2,0.11
107,1378.0,0.33,0.29,0.17,0.34,0.5,0.34,0.27,0.17,0.23,0.17
108,1391.0,0.53,0.39,0.36,0.37,0.24,0.18,0.24,0.29,0.23,0.2
109,1404.0,0.58,0.51,0.31,0.23,0.39,0.23,0.23,0.34,0.41,0.31
110,1417.0,0.24,0.67,0.19,0.37,0.35,0.31,0.12,0.15,0.29,0.26
111,1430.0,0.12,0.47,0.21,0.2,0.12,0.24,0.34,0.22,0.4,0.08
112,1443.0,0.37,0.21,0.31,0.47,0.28,0.29,0.63,0.31,0.61,0.33
113,1456.0,0.36,0.46,0.14,0.26,0.1,0.3,0.14,0.36,0.32,0.18
114,1469.0,0.4,0.48,0.86,0.16,0.58,0.26,0.42,0.52,0.21,0.13
115,1482.0,0.15,0.14,0.7,0.17,0.13,0.42,0.22,0.32,0.27,0.12
116,1495.0,0.2,0.26,0.16,0.18,0.11,0.35,0.29,0.37,0.13,0.19
117,1508.0,0.39,0.43,0.26,0.15,0.2,0.34,0.54,0.33,0.44,0.25
118,1521.0,0.59,0.32,0.28,0.18,0.18,0.22,0.23,0.26,0.39,0.2
119,1534.0,0.59,0.4,0.38,0.14,0.12,0.12,0.28,0.33,0.21,0.33
120,1547.0,0.3,0.42,0.37,0.21,0.13,0.18,0.1,0.36,0.35,0.38
121,1560.0,0.52,0.41,0.17,0.23,0.2,0.2,0.21,0.3,0.23,0.17
122,1573.0,0.36,0.28,0.16,0.3,0.2,0.21,0.26,0.25,0.61,0.24
123,1586.0,0.3,0.2,0.14,0.26,0.26,0.24,0.09,0.39,0.22,0.29
124,1599.0,0.2,0.19,0.23,0.17,0.12,0.14,0.15,0.19,0.23,0.15
125,1612.0,0.24,0.23,0.19,0.21,0.11,0.08,0.14,0.23,0.24,0.17
126,1625.0,0.12,0.24,0.38,0.28,0.09,0.15,0.12,0.53,0.29,0.29
127,1638.0,0.33,0.48,0.27,0.13,0.29,0.3,0.33,0.27,0.62,0.33
128,1651.0,0.28,0.4,0.33,0.33,0.35,0.31,0.23,0.25,0.44,0.14
129,1664.0,0.45,0.32,0.23,0.17,0.1,0.28,0.29,0.53,0.52,0.52
130,1677.0,0.23,0.37,0.13,0.16,0.12,0.27,0.1,0.15,0.59,0.52
131,1690.0,0.35,0.2,0.09,0.21,0.11,0.28,0.18,0.34,0.39,0.23
132,1703.0,0.19,0.27,0.34,0.25,0.21,0.26,0.69,0.7,0.42,0.47
133,1716.0,0.07,0.14,0.11,0.31,0.34,0.19,0.32,0.19,0.55,0.13
134,1729.0,0.18,0.16,0.13,0.17,0.25,0.24,0.16,0.33,0.52,0.14
135,1742.0,0.38,0.38,0.14,0.13,0.09,0.12,0.13,0.14,0.36,0.22
136,1755.0,0.3,0.3,0.27,0.38,0.53,0.21,0.39,0.2,0.27,0.19
137,1768.0,0.2,0.19,0.38,0.36,0.36,0.46,0.41,0.18,0.66,0.34
138,1781.0,0.25,0.28,0.25,0.43,0.4,0.24,0.4,0.22,0.67,0.29
139,1794.0,0.32,0.19,0.33,0.15,0.19,0.3,0.26,0.26,0.23,0.18
140,1807.0,0.08,0.25,0.1,0.29,0.22,0.26,0.09,0.29,0.29,0.3
141,1820.0,0.24,0.41,0.13,0.32,0.24,0.09,0.12,0.63,0.28,0.22
142,1833.0,0.78,0.3,0.39,0.21,0.25,0.36,0.24,0.33,0.55,0.34
143,1846.0,0.63,0.3,0.34,0.16,0.28,0.16,0.27,0.22,0.38,0.27
144,1859.0,0.18,0.16,0.23,0.21,0.14,0.38,0.3,0.32,0.28,0.21
145,1872.0,0.1,0.18,0.08,0.23,0.12,0.45,0.29,0.12,0.3,0.29
146,1885.0,0.1,0.46,0.1,0.11,0.08,0.11,0.17,0.31,0.16,0.22
147,1898.0,0.16,0.14,0.12,0.09,0.21,0.14,0.26,0.15,0.24,0.22
148,1911.0,0.2,0.15,0.09,0.16,0.15,0.24,0.32,0.35,0.48,0.38
149,1924.0,0.4,0.22,0.12,0.26,0.2,0.16,0.21,0.44,0.38,0.21
150,1937.0,0.4,0.28,0.12,0.33,0.09,0.18,0.16,0.21,0.46,0.25
151,1950.0,0.32,0.1,0.14,0.26,0.1,0.2,0.15,0.29,0.41,0.12
152,1963.0,0.42,0.28,0.16,0.1,0.2,0.17,0.24,0.39,0.45,0.28
153,1976.0,0.24,0.27,0.13,0.33,0.41,0.29,0.3,0.38,0.45,0.3
154,1989.0,0.18,0.24,0.11,0.24,0.29,0.32,0.4,0.23,0.28,0.41
155,2002.0,0.1,0.11,0.13,0.21,0.17,0.18,0.28,0.17,0.34,0.3
156,2015.0,0.43,0.21,0.16,0.16,0.12,0.09,0.22,0.27,0.69,0.11
157,2028.0,0.33,0.42,0.2,0.21,0.23,0.21,0.23,0.17,0.34,0.16
158,2041.0,0.4,0.21,0.25,0.36,0.44,0.32,0.32,0.4,0.5,0.41
159,2054.0,0.14,0.42,0.2,0.33,0.23,0.18,0.4,0.33,0.29,0.42
160,2067.0,0.11,0.56,0.4,0.13,0.09,0.69,0.59,0.48,0.45,1.1
161,2080.0,0.16,0.13,0.18,0.11,0.09,0.09,0.17,0.4,0.48,0.4
162,2093.0,0.38,0.33,0.19,0.19,0.11,0.15,0.19,0.34,0.36,0.27
163,2106.0,0.19,0.41,0.23,0.52,0.14,0.1,0.19,0.43,0.29,0.24
164,2119.0,0.38,0.46,0.4,0.23,0.13,0.16,0.13,0.17,0.2,0.14
165,2132.0,0.14,0.43,0.33,0.54,0.22,0.34,0.2,0.17,0.31,0.16
166,2145.0,0.09,0.2,0.1,0.4,0.12,0.16,0.28,0.16,0.26,0.14
167,2158.0,0.21,0.1,0.53,0.15,0.2,0.19,0.4,0.48,0.58,0.25
168,2171.0,0.33,0.35,0.29,0.22,0.31,0.53,0.38,0.51,0.47,0.4
169,2184.0,0.24,0.27,0.22,0.24,0.1,0.24,0.22,0.5,0.64,0.34
170,2197.0,0.3,0.46,0.29,0.3,0.31,0.31,0.19,0.29,0.49,0.21
171,2210.0,0.24,0.21,0.31,0.26,0.29,0.16,0.2,0.18,0.19,0.15
172,2223.0,0.27,0.3,0.38,0.26,0.11,0.31,0.26,0.1,0.6,0.33
173,2236.0,0.31,0.5,0.31,0.24,0.14,0.17,0.26,0.3,0.69,0.33
174,2249.0,0.36,0.37,0.15,0.2,0.32,0.35,0.24,0.24,0.24,0.16
175,2262.0,0.43,1.06,0.3,0.2,0.2,0.3,0.25,0.15,0.22,0.12
176,2275.0,0.25,0.13,0.17,0.12,0.1,0.1,0.16,0.15,0.31,0.24
177,2288.0,0.14,0.24,0.19,0.16,0.16,0.19,0.18,0.18,0.14,0.16
178,2301.0,0.15,0.29,0.15,0.16,0.15,0.15,0.18,0.2,0.21,0.12
179,2314.0,0.21,0.22,0.13,0.18,0.16,0.18,0.25,0.21,0.23,0.21
180,2327.0,0.14,0.09,0.17,0.09,0.12,0.1,0.15,0.27,0.35,0.24
181,2340.0,0.08,0.11,0.13,0.12,0.14,0.12,0.35,0.3,0.38,0.29
182,2353.0,0.32,0.22,0.31,0.11,0.12,0.1,0.2,0.26,0.57,0.57
183,2366.0,0.48,0.21,0.33,0.27,0.37,0.24,0.18,0.52,0.45,0.38
184,2379.0,0.27,0.13,0.18,0.13,0.09,0.17,0.18,0.14,0.52,0.26
185,2392.0,0.41,0.23,0.14,0.27,0.17,0.54,0.33,0.23,0.4,0.53
186,2405.0,0.26,0.56,0.2,0.11,0.12,0.22,0.27,0.13,0.28,0.41
187,2418.0,0.15,0.46,0.17,0.42,0.12,0.23,0.67,0.23,0.53,0.22
188,2431.0,0.18,0.21,0.09,0.26,0.31,0.62,0.5,0.26,0.31,0.17
189,2444.0,0.27,0.29,0.33,0.19,0.31,0.42,0.55,0.31,0.26,0.27
190,2457.0,0.11,0.17,0.23,0.13,0.16,0.27,0.54,0.77,0.35,0.16
191,2470.0,0.17,0.23,0.19,0.12,0.25,0.28,0.43,0.39,0.64,0.38
192,2483.0,0.39,0.15,0.11,0.26,0.16,0.12,0.2,0.34,0.29,0.47
193,2496.0,0.39,0.36,0.31,0.27,0.2,0.18,0.3,0.3,0.37,0.66
194,2509.0,0.27,0.19,0.22,0.14,0.14,0.28,0.2,0.26,0.25,0.2
195,2522.0,0.27,0.21,0.22,0.23,0.64,0.22,0.33,0.2,0.21,0.13
196,2535.0,0.17,0.27,0.19,0.14,0.1,0.16,0.19,0.34,0.47,0.19
197,2548.0,0.18,0.3,0.11,0.14,0.17,0.3,0.13,0.28,0.33,0.52
198,2561.0,0.12,0.33,0.14,0.27,0.16,0.34,0.22,0.38,0.2,0.41
199,2574.0,0.31,0.29,0.39,0.25,0.1,0.34,0.14,0.43,0.19,0.22
200,2587.0,0.44,0.5,0.29,0.27,0.12,0.15,0.19,0.22,0.22,0.18
201,2600.0,0.37,0.3,0.24,0.09,0.27,0.09,0.27,0.17,0.41,0.21
202,2613.0,0.18,0.23,0.15,0.23,0.1,0.3,0.33,0.22,0.35,0.23
203,2626.0,0.4,0.59,0.42,0.2,0.1,0.25,0.24,0.2,0.37,0.46
204,2639.0,0.13,0.23,0.21,0.2,0.07,0.16,0.23,0.26,0.16,0.14
205,2652.0,0.2,0.19,0.43,0.33,0.19,0.22,0.2,0.37,0.31,0.18
206,2665.0,0.25,0.22,0.22,0.33,0.09,0.35,0.2,0.12,0.24,0.14
207,2678.0,0.1,0.11,0.09,0.12,0.06,0.15,0.17,0.14,0.19,0.23
208,2691.0,0.22,0.13,0.18,0.24,0.17,0.42,0.31,0.32,0.28,0.3
209,2704.0,0.16,0.15,0.18,0.27,0.12,0.44,0.75,0.3,0.27,0.41
210,2717.0,0.22,0.28,0.16,0.36,0.26,0.14,0.8,2.95,0.61,0.44
211,2730.0,0.35,0.19,0.26,0.25,0.25,0.29,0.51,0.58,0.61,0.46
212,2743.0,0.28,0.32,0.32,0.3,0.24,0.19,0.32,0.14,0.34,0.31
213,2756.0,0.18,0.43,0.35,0.48,0.27,0.39,0.33,0.49,0.46,0.36
214,2769.0,0.07,0.23,0.38,0.22,0.29,0.26,0.47,0.3,0.31,0.25
215,2782.0,0.28,0.28,0.19,0.17,0.19,0.38,0.3,0.27,0.38,0.36
216,2795.0,0.46,0.36,0.32,0.15,0.13,0.28,0.32,0.43,0.36,0.12
217,2808.0,0.43,0.11,0.4,0.36,0.43,0.07,0.62,0.26,0.31,0.16
218,2821.0,0.21,0.16,0.39,0.6,0.35,0.38,0.38,0.66,0.4,0.24
219,2834.0,0.2,0.32,0.15,0.16,0.11,0.22,0.18,0.25,0.23,0.26
220,2847.0,0.34,0.34,0.33,0.54,0.1,0.15,0.11,0.57,0.21,0.15
221,2860.0,0.22,0.09,0.23,0.1,0.12,0.11,0.09,0.13,0.28,0.33
222,2873.0,0.1,0.12,0.11,0.31,0.23,1.06,0.48,0.24,0.25,0.2
223,2886.0,0.26,0.22,0.18,0.34,0.16,0.18,0.31,0.39,0.37,0.23
224,2899.0,0.12,0.1,0.13,0.22,0.17,0.11,0.39,0.19,0.29,0.14
225,2912.0,0.15,0.12,0.34,0.43,0.1,0.12,0.26,0.66,0.51,0.28
226,2925.0,0.26,0.17,0.31,0.33,0.23,0.21,0.3,0.3,0.5,0.27
227,2938.0,0.24,0.42,0.2,0.2,0.12,0.36,0.13,0.14,0.5,0.09
228,2951.0,0.21,0.3,0.31,0.47,0.35,0.29,0.37,0.42,0.25,0.31
229,2964.0,0.31,0.2,0.2,0.26,0.25,0.33,0.39,0.38,0.33,0.17
230,2977.0,0.51,0.18,0.68,0.16,0.24,0.24,0.67,0.39,0.58,0.22
231,2990.0,0.15,0.13,0.12,0.35,0.2,0.18,0.15,0.17,0.28,0.27
232,3003.0,0.15,0.24,0.19,0.39,0.3,0.21,0.44,0.46,0.19,0.27
233,3016.0,0.19,0.21,0.19,0.34,0.42,0.19,0.55,0.16,0.36,0.36
234,3029.0,0.09,0.13,0.09,0.08,0.09,0.17,0.12,0.16,0.16,0.17
235,3042.0,0.17,0.15,0.16,0.12,0.1,0.37,0.14,0.17,0.24,0.13
236,3055.0,0.13,0.1,0.09,0.11,0.08,0.11,0.24,0.13,0.19,0.19
237,3068.0,0.25,0.14,0.15,0.17,0.07,0.18,0.34,0.53,0.16,0.21
238,3081.0,0.27,0.34,0.42,0.13,0.28,0.31,0.34,0.47,0.46,0.47
239,3094.0,0.29,0.38,0.28,0.13,0.22,0.3,0.51,0.24,0.47,0.41
240,3107.0,0.59,0.74,0.63,0.16,0.13,0.67,0.5,0.46,0.38,0.73
241,3120.0,0.34,0.25,0.45,0.21,0.25,0.21,0.21,0.16,0.27,0.11
242,3133.0,0.14,0.47,0.1,0.37,0.28,0.12,0.12,0.3,0.49,0.25
243,3146.0,0.11,0.13,0.16,0.16,0.56,0.17,0.25,0.26,0.3,0.14
244,3159.0,0.08,0.14,0.08,0.25,0.11,0.12,0.07,0.12,0.18,0.09
245,3172.0,0.13,0.11,0.14,0.18,0.11,0.1,0.27,0.13,0.2,0.23
246,3185.0,0.1,0.12,0.15,0.08,0.1,0.14,0.15,0.09,0.11,0.08
247,3198.0,0.11,0.12,0.11,0.16,0.11,0.14,0.19,0.19,0.14,0.15
248,3211.0,0.28,0.29,0.17,0.29,0.17,0.22,0.32,0.45,0.28,0.27
249,3224.0,0.29,0.35,0.12,0.24,0.33,0.26,0.25,0.33,0.3,0.59
250,3237.0,0.19,0.36,0.19,0.37,0.26,0.6,0.69,0.33,0.29,0.46
251,3250.0,0.27,0.4,0.21,0.41,0.33,0.23,0.29,0.34,0.4,0.63
252,3263.0,0.27,0.28,0.19,0.29,0.16,0.32,0.33,0.48,0.43,0.41
253,3276.0,0.21,0.16,0.11,0.1,0.09,0.09,0.15,0.23,0.39,0.27
254,3289.0,0.11,0.12,0.08,0.17,0.19,0.11,0.09,0.21,0.27,0.19
255,3302.0,0.13,0.13,0.12,0.16,0.17,0.23,0.14,0.16,0.13,0.14
256,3315.0,0.1,0.13,0.14,0.13,0.08,0.24,0.16,0.13,0.16,0.16
257,3328.0,0.13,0.07,0.22,0.08,0.08,0.28,0.14,0.2,0.21,0.1
258,3341.0,0.35,0.24,0.17,0.22,0.16,0.22,0.21,0.2,0.25,0.15
259,3354.0,0.65,0.33,0.43,0.38,0.22,0.28,0.57,0.32,0.43,0.37
260,3367.0,0.32,0.23,0.26,0.25,0.34,0.46,0.71,0.34,0.59,0.17
261,3380.0,0.15,0.13,0.21,0.16,0.3,0.34,0.36,0.45,0.35,0.37
262,3393.0,0.21,0.12,0.13,0.15,0.16,0.1,0.19,0.22,0.23,0.33
263,3406.0,0.15,0.16,0.15,0.13,0.24,0.15,0.16,0.43,0.29,0.31
264,3419.0,0.28,0.12,0.3,0.16,0.1,0.14,0.12,0.35,0.29,0.28
265,3432.0,0.3,0.2,0.26,0.2,0.24,0.46,0.15,0.34,0.18,0.28
266,3445.0,0.85,0.23,0.27,0.23,0.09,0.16,0.12,0.17,0.2,0.2
267,3458.0,0.52,0.5,0.28,0.19,0.39,0.37,0.24,0.31,0.28,0.17
268,3471.0,0.54,0.64,0.63,0.3,0.32,0.3,0.24,0.36,0.35,0.21
269,3484.0,0.16,0.13,0.25,0.17,0.26,0.45,0.24,0.37,0.51,0.4
270,3497.0,0.16,0.17,0.15,0.3,0.21,0.24,0.43,0.33,0.29,0.43
271,3510.0,0.23,0.15,0.18,0.17,0.15,0.16,0.12,0.17,0.23,0.18
272,3523.0,1.21,1.43,1.33,1.22,1.42,1.57,1.34,1.43,1.33,0.73
273,3536.0,0.61,0.36,0.12,0.56,0.1,0.24,0.2,0.22,0.27,0.14
274,3549.0,0.37,0.36,0.28,0.34,0.15,0.29,0.3,0.31,0.2,0.19
275,3562.0,0.34,0.44,0.76,0.35,0.24,0.21,0.13,0.4,0.22,0.23
276,3575.0,0.22,0.2,0.18,0.21,0.45,0.29,0.41,0.34,0.24,0.19
277,3588.0,0.07,0.08,0.08,0.16,0.11,0.13,0.13,0.36,0.44,1.11
278,3601.0,0.19,0.16,0.13,0.11,0.2,0.14,0.15,0.43,0.59,0.58
279,3614.0,0.27,0.28,0.18,0.24,0.23,0.3,0.37,0.31,0.12,0.17
280,3627.0,0.31,0.89,0.1,0.14,0.12,0.14,0.17,0.2,0.39,0.21
281,3640.0,0.3,0.89,0.26,0.35,0.23,0.22,0.19,0.44,0.45,0.4
282,3653.0,0.81,1.35,1.32,1.09,0.55,0.72,1.54,0.98,2.17,1.83
283,3666.0,0.12,0.13,0.12,0.24,0.18,0.28,0.52,0.27,0.63,0.45
284,3679.0,0.15,0.15,0.14,0.13,0.12,0.41,0.55,0.46,0.43,0.2
285,3692.0,0.12,0.14,0.17,0.32,0.17,0.14,0.12,0.23,0.31,0.49
286,3705.0,0.3,0.26,0.35,0.19,0.18,0.19,0.55,0.14,0.25,0.11
287,3718.0,0.13,0.25,0.21,0.18,0.14,0.16,0.12,0.13,0.15,0.08
288,3731.0,0.59,0.27,0.32,0.48,0.48,0.2,0.28,0.16,0.14,0.17
289,3744.0,0.3,0.64,0.2,0.13,0.2,0.25,0.46,0.49,0.45,0.37
290,3757.0,0.29,0.17,0.14,0.18,0.16,0.29,0.35,0.5,0.59,0.32
291,3770.0,0.39,0.31,0.13,0.33,0.12,0.19,0.37,0.24,0.42,0.54
292,3783.0,0.61,0.65,1.0,1.02,1.1,1.15,0.28,0.19,0.24,0.8
293,3796.0,0.14,0.18,0.17,0.27,0.34,0.15,0.3,0.19,0.37,0.14
294,3809.0,0.2,0.42,0.6,0.18,0.26,0.35,0.47,0.16,0.31,0.19
295,3822.0,0.2,0.27,1.24,0.34,0.76,0.54,0.59,0.27,0.27,0.17
296,3835.0,0.85,0.26,0.11,0.19,0.16,0.25,0.12,0.24,0.26,0.2
297,3848.0,0.48,0.27,0.53,0.14,0.12,0.28,0.13,0.17,0.3,0.26
298,3861.0,0.11,0.14,0.59,0.15,0.09,0.28,0.28,0.28,0.19,0.13
299,3874.0,0.25,0.35,0.28,0.33,0.32,0.3,0.31,0.28,0.22,0.26
