구분,팀,고객명,강종(주문),강종(생산),코드,제강공장,코드2,압연,두께,길이(제품),길이(소재),요청량,재고량,제강량,Ch수,생산량(최종),용도별,조정량,이월주문,소LOT분류,생산증량 검토 時,비고(공장),비고(영업) - 특기사항,비고,요청라인
,특수강봉강판매팀,진양특수강,SM45C,SM45C,3I,80톤,봉강,빌렛,200,5600,#N/A,300,,300,4.0,300,글로벌,,,,,,,,
,특수강봉강판매팀,진양특수강,SM45C,SM45C,3I,80톤,봉강,빌렛,200,5600,#N/A,200,,200,2.7,200,글로벌,,,,,,,,
,특수강봉강판매팀,신한,SM45C,SM45C,3I,80톤,봉강,봉강2차,55,6000,"8,135",100,,155,2.1,155,자동차,-55,88,,증량,,한호산업,,
,특수강봉강판매팀,이산,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",30,,35,0.5,35,자동차,-5,3,,증량,,,,
,특수강봉강판매팀,이산,SM45C,SM45C,3I,80톤,봉강,봉강1차,33,6000,"8,181",-,,-,-,-,자동차,,-,,증량,,,,
,특수강봉강판매팀,케이,SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,60,6000,"7,855",10,,15,0.2,15,자동차,-5,8,,증량,,티아이씨,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,45,6400,"8,098",25,,25,0.3,25,자동차,,14,D250415267-003,증량,,네오스틸,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,50,6200,"8,200",25,,25,0.3,25,자동차,,14,D250415267-004,증량,,네오스틸,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,55,6000,"8,135",200,,200,2.7,200,자동차,,113,D250415267-005,증량,,"넥스틸,한호산업",,
,특수강봉강판매팀,에스에이치,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,42,6000,"8,135",100,,100,1.3,100,자동차,,57,D250415226-006,증량,,,,
,특수강봉강판매팀,케이,SM35C,SM35C,3A,80톤,봉강,봉강1차,35,6000,"8,181",20,,-,-,-,자동차,20,,소LOT,,,카펙발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,30,6000,"8,181",10,,10,0.1,10,자동차,,1,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",100,,110,1.5,110,자동차,-10,11,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,34,6000,"8,135",15,,20,0.3,20,자동차,-5,,소LOT,증량 (+5),,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,35,6000,"8,181",-,,-,-,-,자동차,,-,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,36,6000,"8,135",25,,25,0.3,25,자동차,,2,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,38,6000,"8,072",25,,25,0.3,25,자동차,,,소LOT,,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강1차,40,6000,"8,135",300,,325,4.3,325,자동차,-25,31,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,42,6000,"8,135",-,,-,-,-,자동차,,-,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,45,6000,"8,098",125,,195,2.6,195,자동차,-70,110,,증량,,평화발레오,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,45,6060,"8,098",75,,115,1.5,115,자동차,-40,65,,증량,,"선일엠텍,새한",,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,46,6060,"8,200",105,,105,1.4,105,자동차,,,소LOT,,,"선일엠텍,새한",,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,47,6000,#N/A,25,,-,-,-,자동차,25,,소LOT,,,다원스틸,,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,50,6000,"8,200",100,,150,2.0,150,자동차,-50,85,,증량,,"금강메탈, 한호산업",,
,특수강봉강판매팀,케이,SM45C,SM45C,3I,80톤,봉강,봉강2차,52,6000,"8,072",45,,70,0.9,70,자동차,-25,40,,증량,,삼광모터스,,
,특수강봉강판매팀,케이,SM53C,SM53C,3Q,80톤,봉강,봉강2차,55,6000,"8,135",25,,25,0.3,25,자동차,,,,증량 불가_ 소재 없음,,한호산업,,
,특수강봉강판매팀,케이,SM53C,SM53C,3Q,80톤,봉강,봉강2차,55,6300,"8,135",75,,75,1.0,75,자동차,,,,증량 불가_ 소재 없음,,네오스틸,,
,특수강봉강판매팀,신한,15B37M,15B37M,7E,80톤,봉강,봉강2차,42,6000,"8,135",35,,35,0.5,35,산업용,,,,"15B36CR → 15B37M 대체 투입 [36CR제강 LOT 부족(80T 제강불가, 당진이관 대상 BL3525 재고 有)",,동신금속,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강1차,28,6000,"8,072",35,,-,-,-,산업용,35,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강1차,35,6000,"8,181",30,,-,-,-,산업용,30,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강1차,40,6000,"8,135",15,,-,-,-,산업용,15,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,46,6000,"8,200",10,,-,-,-,산업용,10,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,47,6000,#N/A,25,,-,-,-,산업용,25,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,48,6000,"8,135",10,,-,-,-,산업용,10,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신한,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,50,6000,"8,200",10,,-,-,-,산업용,10,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,2월 미투입분 재검토,,
,특수강봉강판매팀,신강금속,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강1차,40,6130,"8,135",75,,-,-,-,산업용,75,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,,,
,특수강봉강판매팀,신강금속,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,48,6000,"8,135",100,,-,-,-,산업용,100,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,,,
,특수강봉강판매팀,신강금속,S43BCH-B,S43BCH-B,7K,80톤,봉강,봉강2차,50,6050,"8,200",50,,-,-,-,산업용,50,,,"안전사고로 인한 S43BCH-B 시제강 X → 3월말~4월 초  시제강 검토, 4월내 제품 생산 불가",,,,
,특수강봉강판매팀,에스에이치,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,45,6000,"8,098",125,,125,1.7,125,자동차,,71,D250415226-007,증량,,,,
,특수강봉강판매팀,에스에이치,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,50,6000,"8,200",50,,50,0.7,50,자동차,,28,D250415226-008,증량,,,,
,특수강봉강판매팀,동호스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,30,6000,"8,181",10,,10,0.1,10,자동차,,1,,증량,,,,
,특수강봉강판매팀,동호스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6000,"8,181",25,,50,0.7,50,자동차,-25,,,증량 _추가 증량 불가,,,,
,특수강봉강판매팀,동호스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,35,6000,"8,181",-,,-,-,-,자동차,,-,,증량,,,,
,특수강봉강판매팀,동호스틸,SM45C,SM45C,3I,80톤,봉강,봉강1차,36,6000,"8,135",60,,100,1.3,100,산업용,-40,,,증량 _추가 증량 불가,,글로벌차,,
,특수강봉강판매팀,동호스틸,SM45C,SM45C,3I,80톤,봉강,봉강2차,60,6100,"7,855",110,,120,1.6,120,자동차,-10,,,증량 _추가 증량 불가,,,"소요량 100톤/월 회복, 현재고 85톤",
,특수강봉강판매팀,진일스틸,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,45,7000,"8,098",85,,85,1.1,50,자동차,,,110,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,29,6000,"8,072",20,,-,-,-,자동차,20,,소LOT,,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,30,6000,"8,181",35,,40,0.5,40,자동차,-5,4,,증량,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,32,6040,"8,181",140,,300,4.0,300,자동차,-160,,1,증량_추가증량불가,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,33,6040,"8,181",-,,-,-,-,자동차,,-,,증량,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,35,6000,"8,181",-,,-,-,-,자동차,,-,,증량,,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강1차,38,6000,"8,072",30,,80,1.1,80,자동차,-50,,소LOT,증량(+50),,,,
,특수강봉강판매팀,씨티알홀딩스,SM45C,SM45C,3I,80톤,봉강,봉강2차,45,6140,"8,098",10,,20,0.3,20,자동차,-10,11,,증량,,,,
,특수강봉강판매팀,제이엠,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강1차,40,5800,"8,135",40,,40,0.5,40,자동차,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,제이엠,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강2차,50,5800,"8,200",40,,40,0.5,40,자동차,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,제이엠,S40CVS-HB,S40CVS-HB,8E,80톤,봉강,봉강2차,55,5730,#N/A,60,,60,0.8,60,자동차,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,국제종합특수강,SM45C,SM45C,3I,80톤,봉강,봉강2차,55,6000,"8,135",60,,95,1.3,95,자동차,-35,54,,증량,,,,
,특수강봉강판매팀,에스에이치,SM43C,SM43C,3G,80톤,봉강,봉강1차,32,6000,"8,181",50,,55,0.7,55,자동차,-5,5,,증량,,45C로 강종변환 가능한 빌렛 투입 요청 (C값 45정도),,
,특수강봉강판매팀,에스에이치,SM43C,SM43C,3G,80톤,봉강,봉강1차,34,6000,"8,135",50,,55,0.7,55,자동차,-5,,소LOT,,,45C로 강종변환 가능한 빌렛 투입 요청 (C값 45정도),,
,특수강봉강판매팀,에스에이치,SM45C,SM45C,3I,80톤,봉강,봉강1차,34,6000,"8,135",50,,55,0.7,55,자동차,-5,,소LOT,,,,,
,특수강봉강판매팀,에스에이치,SM45C,SM45C,3I,80톤,봉강,봉강1차,35,6000,"8,181",-,,-,-,-,자동차,,-,,증량,,,,
,특수강봉강판매팀,에스에이치,SM45C,SM45C,3I,80톤,봉강,봉강1차,36,6000,"8,135",50,,55,0.7,55,자동차,-5,5,,증량,,,,
,특수강봉강판매팀,에스에이치,SM53C,SM53C,3Q,80톤,봉강,봉강2차,55,6000,"8,135",35,,35,0.5,35,자동차,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,에스에이치,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,42,6000,"8,135",100,,100,1.3,90,자동차,,,130,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,에스에이치,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,45,6000,"8,098",50,,50,0.7,45,자동차,,,65,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,원일특강,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,50,6000,"8,200",300,,300,4.0,120,자동차,,,320,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,자동차봉강판매팀,에스앤에스,SM20C,SM20CA,N3,80톤,봉강,봉강1차,36,7000,"8,135",75,,85,1.1,85,자동차,-10,8,,증량,,,,
,자동차봉강판매팀,에스앤에스,SM45C,SM45C,3I,80톤,봉강,봉강1차,36,7000,"8,135",75,,85,1.1,85,자동차,-10,8,,증량,,,,
,자동차봉강판매팀,에스앤에스,SM45C,SM45C,3I,80톤,봉강,봉강1차,28,7000,"8,072",75,,85,1.1,85,자동차,-10,,소LOT,증량 (+10),,,,
,자동차봉강판매팀,에스앤에스,SM45C,SM45C,3I,80톤,봉강,봉강1차,40,7000,"8,135",60,,65,0.9,65,자동차,-5,6,,증량,,,,
,자동차봉강판매팀,유창정밀,SM35C,SM35C,3A,80톤,봉강,봉강1차,32,7000,"8,181",10,,10,0.1,10,자동차,,1,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,42,5580,#N/A,10,,15,0.2,15,자동차,-5,8,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,42,5780,#N/A,10,,15,0.2,15,자동차,-5,8,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,42,6230,#N/A,16,,25,0.3,25,자동차,-9,14,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,42,6430,#N/A,16,,25,0.3,25,자동차,-9,14,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,빌렛,봉강2차,50,5300,#N/A,20,,30,0.4,30,자동차,-10,17,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,빌렛,봉강2차,50,6230,#N/A,20,,30,0.4,30,자동차,-10,17,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,빌렛,봉강2차,52,5500,#N/A,30,,45,0.6,45,자동차,-15,25,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,52,6050,#N/A,30,,45,0.6,45,자동차,-15,25,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,58,4990,#N/A,10,,15,0.2,15,자동차,-5,8,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,58,5680,#N/A,50,,80,1.1,80,자동차,-30,45,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,58,5790,#N/A,40,,65,0.9,65,자동차,-25,37,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,58,6100,#N/A,20,,30,0.4,30,자동차,-10,17,,증량,,,,
,자동차봉강판매팀,현대종합특수강(주),SAE51B35,SAE51B35,ND,80톤,봉강,봉강2차,58,6230,#N/A,50,,80,1.1,80,자동차,-30,45,,증량,,,,
,특수강봉강판매팀,용진스테코,A105-NACE,A105,2W,80톤,봉강,봉강2차,45,6000,"8,098",20,,20,0.3,20,산업용,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,용진스테코,A105-NACE,A105,2W,80톤,봉강,봉강2차,55,6000,"8,135",10,,10,0.1,10,산업용,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,용진스테코,A105-NACE,A105,2W,80톤,봉강,봉강2차,60,6000,"7,855",20,,20,0.3,20,산업용,,,,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,용진스테코,A105-NACE,A105,2W,80톤,봉강,봉강2차,65,6000,"8,181",10,,10,0.1,10,산업용,,,소LOT,증량 불가_ 소재 없음,,,,
,특수강봉강판매팀,유림철강,16MNCRS5+H,16MNCRS5+H,6L,80톤,봉강,봉강1차,40,7000,"8,135",120,,120,1.6,120,산업용,,,,증량불가,,,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,42,6000,"8,135",100,,100,1.3,95,자동차,,,130,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,50,6200,"8,200",50,,50,0.7,50,자동차,,,65,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,케이,SM25CA,SM25CA,M1,80톤,봉강,봉강2차,55,6000,"8,135",225,,225,3.0,140,자동차,,,290,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,케이원스틸,SM25C,SM25CA,M1,80톤,봉강,봉강2차,50,6000,"8,200",25,,25,0.3,25,자동차,,14,D250414618-002,증량,,,,
,특수강봉강판매팀,에스와이스틸,SM25C,SM25CA,M1,80톤,봉강,봉강1차,40,6000,"8,135",25,,25,0.3,25,자동차,,2,,증량,,,,
,특수강봉강판매팀,에스와이스틸,SM25C,SM25CA,M1,80톤,봉강,봉강2차,45,6000,"8,098",130,,180,2.4,180,자동차,-50,102,,증량,,,,
,특수강봉강판매팀,씨티알홀딩스,SM25C,SM25CA,M1,80톤,봉강,봉강1차,29,6040,"8,072",20,,-,-,-,자동차,20,,소LOT,,,,,
,특수강봉강판매팀,에스와이스틸,SM25C,SM25CA,M1,80톤,봉강,봉강2차,45,6000,"8,098",75,,75,1.0,-,자동차,,,95,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,특수강봉강판매팀,유림철강,S25C,SM25CA,M1,80톤,봉강,봉강2차,44,7000,"8,200",200,,200,2.7,100,자동차,,,260,3월봉강2차 → 4월봉강2차 이월 (715톤) SM25C 소재부족분,,,,
,자동차봉강판매팀,진영산업,SM53C,SM53C,3Q,80톤,봉강,봉강2차,45,5970,"8,098",-,,50,0.7,50,자동차,-50,,,추가주문 (동호 또는 에스와이에서 50톤 감량 예정),,,,
,특수강봉강판매팀,케이원스틸,SM48C,SM48C,3L,80톤,봉강,봉강2차,50,6030,#N/A,-,,550,7.3,550,자동차,-550,,,신규 추가 주문,,,,
,중기생산팀,중기생산팀,15B37MJ,15B37MJ,7O,80톤,봉강,봉강2차,42,5700,#N/A,50,,50,0.7,50,산업용,,,,,,,,
,중기생산팀,중기생산팀,15B37MJ,15B37MJ,7O,80톤,봉강,봉강2차,50,6000,"8,200",400,,400,5.3,400,산업용,,,,,,,,
,중기생산팀,중기생산팀,15B37MJ,15B37MJ,7O,80톤,봉강,봉강2차,58,5900,#N/A,300,,300,4.0,300,산업용,,,,,,,,
,중기생산팀,중기생산팀,15B37MJ,15B37MJ,7O,80톤,봉강,봉강2차,60,6000,"7,855",500,,500,6.7,500,산업용,,,,,,,,
,중기생산팀,중기생산팀,15B37MJ,15B37MJ,7O,80톤,봉강,봉강2차,65,7000,"8,181",50,,50,0.7,50,산업용,,,,,,,,
,중기생산팀,중기생산팀,SCR440BJ,SCR440BJ,7P,80톤,봉강,봉강2차,52,6700,#N/A,30,,30,0.4,30,산업용,,,,,,,,
,중기생산팀,중기생산팀,SCR440BJ,SCR440BJ,7P,80톤,봉강,봉강2차,60,6800,#N/A,70,,70,0.9,70,산업용,,,,,,,,
,중기생산팀,중기생산팀,SCR440BJ,SCR440BJ,7P,80톤,봉강,봉강2차,61.5,7000,#N/A,120,,120,1.6,120,산업용,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,-,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,-,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,-,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,-,,,,,,,,,
,,,,#N/A,#N/A,,,,,,#N/A,,,-,-,-,,,,,,,,,
