date,lot_id,mixer_start,mixer_end,hopper_start,hopper_end,auger_start,auger_end,rhk_input_start,rhk_input_end,rhk_output_start,rhk_output_end,roc_start,roc_end,target_icp1
2022-01-02,220102011,2022-01-02 01:40:00,2022-01-02 01:49:00,2022-01-02 02:05:00,2022-01-02 03:47:00,2022-01-02 03:47:00,2022-01-02 04:44:00,2022-01-02 04:44:00,2022-01-02 05:13:00,2022-01-02 05:13:00,2022-01-02 05:43:00,2022-01-02 05:43:00,2022-01-02 06:24:00,0.5059
2022-01-02,220102012,2022-01-02 03:20:00,2022-01-02 03:30:00,2022-01-02 03:47:00,2022-01-02 05:25:00,2022-01-02 05:25:00,2022-01-02 06:26:00,2022-01-02 06:26:00,2022-01-02 06:56:00,2022-01-02 06:56:00,2022-01-02 07:26:00,2022-01-02 07:26:00,2022-01-02 08:07:00,0.5112
2022-01-02,220102013,2022-01-02 05:00:00,2022-01-02 05:09:00,2022-01-02 05:25:00,2022-01-02 07:05:00,2022-01-02 07:05:00,2022-01-02 08:05:00,2022-01-02 08:05:00,2022-01-02 08:34:00,2022-01-02 08:34:00,2022-01-02 09:03:00,2022-01-02 09:03:00,2022-01-02 09:43:00,0.5061
2022-01-02,220102014,2022-01-02 06:40:00,2022-01-02 06:50:00,2022-01-02 07:05:00,2022-01-02 08:42:00,2022-01-02 08:42:00,2022-01-02 09:44:00,2022-01-02 09:44:00,2022-01-02 10:14:00,2022-01-02 10:14:00,2022-01-02 10:45:00,2022-01-02 10:45:00,2022-01-02 11:24:00,0.3728
2022-01-02,220102015,2022-01-02 08:20:00,2022-01-02 08:29:00,2022-01-02 08:42:00,2022-01-02 10:23:00,2022-01-02 10:23:00,2022-01-02 11:25:00,2022-01-02 11:25:00,2022-01-02 11:54:00,2022-01-02 11:54:00,2022-01-02 12:23:00,2022-01-02 12:23:00,2022-01-02 13:02:00,0.5661
2022-01-02,220102016,2022-01-02 10:00:00,2022-01-02 10:09:00,2022-01-02 10:23:00,2022-01-02 12:03:00,2022-01-02 12:03:00,2022-01-02 13:02:00,2022-01-02 13:02:00,2022-01-02 13:31:00,2022-01-02 13:31:00,2022-01-02 13:59:00,2022-01-02 13:59:00,2022-01-02 14:38:00,0.5245
2022-01-02,220102017,2022-01-02 11:40:00,2022-01-02 11:50:00,2022-01-02 12:03:00,2022-01-02 13:42:00,2022-01-02 13:42:00,2022-01-02 14:43:00,2022-01-02 14:43:00,2022-01-02 15:13:00,2022-01-02 15:13:00,2022-01-02 15:42:00,2022-01-02 15:42:00,2022-01-02 16:22:00,0.2986
2022-01-02,220102018,2022-01-02 13:20:00,2022-01-02 13:30:00,2022-01-02 13:42:00,2022-01-02 15:22:00,2022-01-02 15:22:00,2022-01-02 16:21:00,2022-01-02 16:21:00,2022-01-02 16:52:00,2022-01-02 16:52:00,2022-01-02 17:23:00,2022-01-02 17:23:00,2022-01-02 18:01:00,0.475
2022-01-02,220102019,2022-01-02 15:00:00,2022-01-02 15:09:00,2022-01-02 15:22:00,2022-01-02 17:04:00,2022-01-02 17:04:00,2022-01-02 18:03:00,2022-01-02 18:03:00,2022-01-02 18:33:00,2022-01-02 18:33:00,2022-01-02 19:03:00,2022-01-02 19:03:00,2022-01-02 19:41:00,0.2587
2022-01-02,220102020,2022-01-02 16:40:00,2022-01-02 16:49:00,2022-01-02 17:04:00,2022-01-02 18:45:00,2022-01-02 18:45:00,2022-01-02 19:45:00,2022-01-02 19:45:00,2022-01-02 20:16:00,2022-01-02 20:16:00,2022-01-02 20:47:00,2022-01-02 20:47:00,2022-01-02 21:27:00,0.8258
2022-01-02,220102021,2022-01-02 18:20:00,2022-01-02 18:30:00,2022-01-02 18:45:00,2022-01-02 20:24:00,2022-01-02 20:24:00,2022-01-02 21:26:00,2022-01-02 21:26:00,2022-01-02 21:56:00,2022-01-02 21:56:00,2022-01-02 22:27:00,2022-01-02 22:27:00,2022-01-02 23:06:00,0.2564
2022-01-02,220102022,2022-01-02 20:00:00,2022-01-02 20:09:00,2022-01-02 20:24:00,2022-01-02 22:04:00,2022-01-02 22:04:00,2022-01-02 23:01:00,2022-01-02 23:01:00,2022-01-02 23:30:00,2022-01-02 23:30:00,2022-01-02 23:58:00,2022-01-02 23:58:00,2022-01-03 00:39:00,0.6933
2022-01-02,220102023,2022-01-02 21:40:00,2022-01-02 21:49:00,2022-01-02 22:04:00,2022-01-02 23:39:00,2022-01-02 23:39:00,2022-01-03 00:40:00,2022-01-03 00:40:00,2022-01-03 01:11:00,2022-01-03 01:11:00,2022-01-03 01:41:00,2022-01-03 01:41:00,2022-01-03 02:21:00,0.4994
2022-01-02,220102024,2022-01-02 23:20:00,2022-01-02 23:30:00,2022-01-02 23:39:00,2022-01-03 01:22:00,2022-01-03 01:22:00,2022-01-03 02:19:00,2022-01-03 02:19:00,2022-01-03 02:48:00,2022-01-03 02:48:00,2022-01-03 03:17:00,2022-01-03 03:17:00,2022-01-03 03:57:00,0.6424
2022-01-03,220103025,2022-01-03 01:00:00,2022-01-03 01:10:00,2022-01-03 01:22:00,2022-01-03 03:02:00,2022-01-03 03:02:00,2022-01-03 04:01:00,2022-01-03 04:01:00,2022-01-03 04:30:00,2022-01-03 04:30:00,2022-01-03 05:01:00,2022-01-03 05:01:00,2022-01-03 05:41:00,0.4578
2022-01-03,220103026,2022-01-03 02:40:00,2022-01-03 02:49:00,2022-01-03 03:02:00,2022-01-03 04:38:00,2022-01-03 04:38:00,2022-01-03 05:38:00,2022-01-03 05:38:00,2022-01-03 06:07:00,2022-01-03 06:07:00,2022-01-03 06:36:00,2022-01-03 06:36:00,2022-01-03 07:14:00,0.4629
2022-01-03,220103027,2022-01-03 04:20:00,2022-01-03 04:30:00,2022-01-03 04:38:00,2022-01-03 06:19:00,2022-01-03 06:19:00,2022-01-03 07:18:00,2022-01-03 07:18:00,2022-01-03 07:48:00,2022-01-03 07:48:00,2022-01-03 08:19:00,2022-01-03 08:19:00,2022-01-03 09:00:00,0.7728
2022-01-03,220103028,2022-01-03 06:00:00,2022-01-03 06:10:00,2022-01-03 06:19:00,2022-01-03 07:57:00,2022-01-03 07:57:00,2022-01-03 08:54:00,2022-01-03 08:54:00,2022-01-03 09:24:00,2022-01-03 09:24:00,2022-01-03 09:55:00,2022-01-03 09:55:00,2022-01-03 10:33:00,0.5422
2022-01-03,220103029,2022-01-03 07:40:00,2022-01-03 07:49:00,2022-01-03 07:57:00,2022-01-03 09:40:00,2022-01-03 09:40:00,2022-01-03 10:42:00,2022-01-03 10:42:00,2022-01-03 11:11:00,2022-01-03 11:11:00,2022-01-03 11:40:00,2022-01-03 11:40:00,2022-01-03 12:20:00,0.5299
2022-01-03,220103030,2022-01-03 09:20:00,2022-01-03 09:29:00,2022-01-03 09:40:00,2022-01-03 11:23:00,2022-01-03 11:23:00,2022-01-03 12:21:00,2022-01-03 12:21:00,2022-01-03 12:50:00,2022-01-03 12:50:00,2022-01-03 13:18:00,2022-01-03 13:18:00,2022-01-03 13:57:00,0.8727
2022-01-03,220103031,2022-01-03 11:00:00,2022-01-03 11:09:00,2022-01-03 11:23:00,2022-01-03 12:59:00,2022-01-03 12:59:00,2022-01-03 14:01:00,2022-01-03 14:01:00,2022-01-03 14:32:00,2022-01-03 14:32:00,2022-01-03 15:01:00,2022-01-03 15:01:00,2022-01-03 15:39:00,0.3132
2022-01-03,220103032,2022-01-03 12:40:00,2022-01-03 12:49:00,2022-01-03 12:59:00,2022-01-03 14:37:00,2022-01-03 14:37:00,2022-01-03 15:38:00,2022-01-03 15:38:00,2022-01-03 16:08:00,2022-01-03 16:08:00,2022-01-03 16:39:00,2022-01-03 16:39:00,2022-01-03 17:19:00,0.6102
2022-01-03,220103033,2022-01-03 14:20:00,2022-01-03 14:29:00,2022-01-03 14:37:00,2022-01-03 16:18:00,2022-01-03 16:18:00,2022-01-03 17:16:00,2022-01-03 17:16:00,2022-01-03 17:46:00,2022-01-03 17:46:00,2022-01-03 18:14:00,2022-01-03 18:14:00,2022-01-03 18:52:00,0.5373
2022-01-03,220103034,2022-01-03 16:00:00,2022-01-03 16:09:00,2022-01-03 16:18:00,2022-01-03 17:57:00,2022-01-03 17:57:00,2022-01-03 18:59:00,2022-01-03 18:59:00,2022-01-03 19:27:00,2022-01-03 19:27:00,2022-01-03 19:56:00,2022-01-03 19:56:00,2022-01-03 20:35:00,0.4972
2022-01-03,220103035,2022-01-03 17:40:00,2022-01-03 17:49:00,2022-01-03 17:57:00,2022-01-03 19:34:00,2022-01-03 19:34:00,2022-01-03 20:36:00,2022-01-03 20:36:00,2022-01-03 21:04:00,2022-01-03 21:04:00,2022-01-03 21:34:00,2022-01-03 21:34:00,2022-01-03 22:13:00,0.543
2022-01-03,220103036,2022-01-03 19:20:00,2022-01-03 19:30:00,2022-01-03 19:34:00,2022-01-03 21:18:00,2022-01-03 21:18:00,2022-01-03 22:19:00,2022-01-03 22:19:00,2022-01-03 22:47:00,2022-01-03 22:47:00,2022-01-03 23:15:00,2022-01-03 23:15:00,2022-01-03 23:56:00,0.3681
2022-01-03,220103037,2022-01-03 21:00:00,2022-01-03 21:09:00,2022-01-03 21:18:00,2022-01-03 23:02:00,2022-01-03 23:02:00,2022-01-04 00:04:00,2022-01-04 00:04:00,2022-01-04 00:32:00,2022-01-04 00:32:00,2022-01-04 01:01:00,2022-01-04 01:01:00,2022-01-04 01:40:00,0.4608
2022-01-03,220103038,2022-01-03 22:40:00,2022-01-03 22:50:00,2022-01-03 23:02:00,2022-01-04 00:37:00,2022-01-04 00:37:00,2022-01-04 01:36:00,2022-01-04 01:36:00,2022-01-04 02:07:00,2022-01-04 02:07:00,2022-01-04 02:36:00,2022-01-04 02:36:00,2022-01-04 03:14:00,0.656
2022-01-04,220104039,2022-01-04 00:20:00,2022-01-04 00:30:00,2022-01-04 00:37:00,2022-01-04 02:21:00,2022-01-04 02:21:00,2022-01-04 03:22:00,2022-01-04 03:22:00,2022-01-04 03:51:00,2022-01-04 03:51:00,2022-01-04 04:21:00,2022-01-04 04:21:00,2022-01-04 05:02:00,0.4671
2022-01-04,220104040,2022-01-04 02:00:00,2022-01-04 02:09:00,2022-01-04 02:21:00,2022-01-04 03:57:00,2022-01-04 03:57:00,2022-01-04 04:57:00,2022-01-04 04:57:00,2022-01-04 05:26:00,2022-01-04 05:26:00,2022-01-04 05:57:00,2022-01-04 05:57:00,2022-01-04 06:36:00,0.5182
2022-01-04,220104041,2022-01-04 03:40:00,2022-01-04 03:49:00,2022-01-04 03:57:00,2022-01-04 05:36:00,2022-01-04 05:36:00,2022-01-04 06:34:00,2022-01-04 06:34:00,2022-01-04 07:03:00,2022-01-04 07:03:00,2022-01-04 07:32:00,2022-01-04 07:32:00,2022-01-04 08:13:00,0.3539
2022-01-04,220104042,2022-01-04 05:20:00,2022-01-04 05:29:00,2022-01-04 05:36:00,2022-01-04 07:19:00,2022-01-04 07:19:00,2022-01-04 08:17:00,2022-01-04 08:17:00,2022-01-04 08:47:00,2022-01-04 08:47:00,2022-01-04 09:18:00,2022-01-04 09:18:00,2022-01-04 09:59:00,0.4694
2022-01-04,220104043,2022-01-04 07:00:00,2022-01-04 07:09:00,2022-01-04 07:19:00,2022-01-04 08:56:00,2022-01-04 08:56:00,2022-01-04 09:53:00,2022-01-04 09:53:00,2022-01-04 10:21:00,2022-01-04 10:21:00,2022-01-04 10:50:00,2022-01-04 10:50:00,2022-01-04 11:30:00,0.6905
2022-01-04,220104044,2022-01-04 08:40:00,2022-01-04 08:50:00,2022-01-04 08:56:00,2022-01-04 10:33:00,2022-01-04 10:33:00,2022-01-04 11:30:00,2022-01-04 11:30:00,2022-01-04 12:01:00,2022-01-04 12:01:00,2022-01-04 12:30:00,2022-01-04 12:30:00,2022-01-04 13:09:00,0.5598
2022-01-04,220104045,2022-01-04 10:20:00,2022-01-04 10:30:00,2022-01-04 10:33:00,2022-01-04 12:16:00,2022-01-04 12:16:00,2022-01-04 13:16:00,2022-01-04 13:16:00,2022-01-04 13:44:00,2022-01-04 13:44:00,2022-01-04 14:13:00,2022-01-04 14:13:00,2022-01-04 14:52:00,0.5739
2022-01-04,220104046,2022-01-04 12:00:00,2022-01-04 12:10:00,2022-01-04 12:16:00,2022-01-04 13:56:00,2022-01-04 13:56:00,2022-01-04 14:54:00,2022-01-04 14:54:00,2022-01-04 15:24:00,2022-01-04 15:24:00,2022-01-04 15:53:00,2022-01-04 15:53:00,2022-01-04 16:34:00,0.5138
2022-01-04,220104047,2022-01-04 13:40:00,2022-01-04 13:49:00,2022-01-04 13:56:00,2022-01-04 15:35:00,2022-01-04 15:35:00,2022-01-04 16:33:00,2022-01-04 16:33:00,2022-01-04 17:02:00,2022-01-04 17:02:00,2022-01-04 17:31:00,2022-01-04 17:31:00,2022-01-04 18:10:00,0.4483
2022-01-04,220104048,2022-01-04 15:20:00,2022-01-04 15:29:00,2022-01-04 15:35:00,2022-01-04 17:12:00,2022-01-04 17:12:00,2022-01-04 18:14:00,2022-01-04 18:14:00,2022-01-04 18:45:00,2022-01-04 18:45:00,2022-01-04 19:16:00,2022-01-04 19:16:00,2022-01-04 19:57:00,0.3637
2022-01-04,220104049,2022-01-04 17:00:00,2022-01-04 17:09:00,2022-01-04 17:12:00,2022-01-04 18:51:00,2022-01-04 18:51:00,2022-01-04 19:49:00,2022-01-04 19:49:00,2022-01-04 20:18:00,2022-01-04 20:18:00,2022-01-04 20:48:00,2022-01-04 20:48:00,2022-01-04 21:28:00,0.2641
2022-01-04,220104050,2022-01-04 18:40:00,2022-01-04 18:49:00,2022-01-04 18:51:00,2022-01-04 20:32:00,2022-01-04 20:32:00,2022-01-04 21:34:00,2022-01-04 21:34:00,2022-01-04 22:04:00,2022-01-04 22:04:00,2022-01-04 22:33:00,2022-01-04 22:33:00,2022-01-04 23:11:00,0.6507
2022-01-04,220104051,2022-01-04 20:20:00,2022-01-04 20:30:00,2022-01-04 20:32:00,2022-01-04 22:12:00,2022-01-04 22:12:00,2022-01-04 23:12:00,2022-01-04 23:12:00,2022-01-04 23:40:00,2022-01-04 23:40:00,2022-01-05 00:08:00,2022-01-05 00:08:00,2022-01-05 00:49:00,0.4716
2022-01-04,220104052,2022-01-04 22:00:00,2022-01-04 22:10:00,2022-01-04 22:12:00,2022-01-04 23:50:00,2022-01-04 23:50:00,2022-01-05 00:48:00,2022-01-05 00:48:00,2022-01-05 01:19:00,2022-01-05 01:19:00,2022-01-05 01:47:00,2022-01-05 01:47:00,2022-01-05 02:25:00,0.6231
2022-01-04,220104053,2022-01-04 23:40:00,2022-01-04 23:50:00,2022-01-04 23:50:00,2022-01-05 01:25:00,2022-01-05 01:25:00,2022-01-05 02:26:00,2022-01-05 02:26:00,2022-01-05 02:55:00,2022-01-05 02:55:00,2022-01-05 03:23:00,2022-01-05 03:23:00,2022-01-05 04:02:00,0.5245
2022-01-05,220105054,2022-01-05 01:20:00,2022-01-05 01:29:00,2022-01-05 01:29:00,2022-01-05 03:13:00,2022-01-05 03:13:00,2022-01-05 04:10:00,2022-01-05 04:10:00,2022-01-05 04:40:00,2022-01-05 04:40:00,2022-01-05 05:11:00,2022-01-05 05:11:00,2022-01-05 05:52:00,0.4262
2022-01-05,220105055,2022-01-05 03:00:00,2022-01-05 03:09:00,2022-01-05 03:13:00,2022-01-05 04:52:00,2022-01-05 04:52:00,2022-01-05 05:54:00,2022-01-05 05:54:00,2022-01-05 06:24:00,2022-01-05 06:24:00,2022-01-05 06:54:00,2022-01-05 06:54:00,2022-01-05 07:32:00,0.316
2022-01-05,220105056,2022-01-05 04:40:00,2022-01-05 04:49:00,2022-01-05 04:52:00,2022-01-05 06:31:00,2022-01-05 06:31:00,2022-01-05 07:33:00,2022-01-05 07:33:00,2022-01-05 08:03:00,2022-01-05 08:03:00,2022-01-05 08:33:00,2022-01-05 08:33:00,2022-01-05 09:14:00,0.5365
2022-01-05,220105057,2022-01-05 06:20:00,2022-01-05 06:30:00,2022-01-05 06:31:00,2022-01-05 08:08:00,2022-01-05 08:08:00,2022-01-05 09:10:00,2022-01-05 09:10:00,2022-01-05 09:39:00,2022-01-05 09:39:00,2022-01-05 10:08:00,2022-01-05 10:08:00,2022-01-05 10:48:00,0.5604
2022-01-05,220105058,2022-01-05 08:00:00,2022-01-05 08:10:00,2022-01-05 08:10:00,2022-01-05 09:48:00,2022-01-05 09:48:00,2022-01-05 10:48:00,2022-01-05 10:48:00,2022-01-05 11:18:00,2022-01-05 11:18:00,2022-01-05 11:46:00,2022-01-05 11:46:00,2022-01-05 12:26:00,0.3479
2022-01-05,220105059,2022-01-05 09:40:00,2022-01-05 09:49:00,2022-01-05 09:49:00,2022-01-05 11:26:00,2022-01-05 11:26:00,2022-01-05 12:23:00,2022-01-05 12:23:00,2022-01-05 12:52:00,2022-01-05 12:52:00,2022-01-05 13:21:00,2022-01-05 13:21:00,2022-01-05 14:00:00,0.3218
2022-01-05,220105060,2022-01-05 11:20:00,2022-01-05 11:30:00,2022-01-05 11:30:00,2022-01-05 13:09:00,2022-01-05 13:09:00,2022-01-05 14:08:00,2022-01-05 14:08:00,2022-01-05 14:36:00,2022-01-05 14:36:00,2022-01-05 15:04:00,2022-01-05 15:04:00,2022-01-05 15:43:00,0.415
2022-01-05,220105061,2022-01-05 13:00:00,2022-01-05 13:09:00,2022-01-05 13:09:00,2022-01-05 14:47:00,2022-01-05 14:47:00,2022-01-05 15:46:00,2022-01-05 15:46:00,2022-01-05 16:15:00,2022-01-05 16:15:00,2022-01-05 16:43:00,2022-01-05 16:43:00,2022-01-05 17:24:00,0.5882
2022-01-05,220105062,2022-01-05 14:40:00,2022-01-05 14:50:00,2022-01-05 14:50:00,2022-01-05 16:31:00,2022-01-05 16:31:00,2022-01-05 17:31:00,2022-01-05 17:31:00,2022-01-05 18:00:00,2022-01-05 18:00:00,2022-01-05 18:30:00,2022-01-05 18:30:00,2022-01-05 19:08:00,0.6308
2022-01-05,220105063,2022-01-05 16:20:00,2022-01-05 16:29:00,2022-01-05 16:31:00,2022-01-05 18:15:00,2022-01-05 18:15:00,2022-01-05 19:14:00,2022-01-05 19:14:00,2022-01-05 19:43:00,2022-01-05 19:43:00,2022-01-05 20:12:00,2022-01-05 20:12:00,2022-01-05 20:52:00,0.5696
2022-01-05,220105064,2022-01-05 18:00:00,2022-01-05 18:09:00,2022-01-05 18:15:00,2022-01-05 19:58:00,2022-01-05 19:58:00,2022-01-05 21:00:00,2022-01-05 21:00:00,2022-01-05 21:30:00,2022-01-05 21:30:00,2022-01-05 22:00:00,2022-01-05 22:00:00,2022-01-05 22:39:00,0.5529
2022-01-05,220105065,2022-01-05 19:40:00,2022-01-05 19:49:00,2022-01-05 19:58:00,2022-01-05 21:37:00,2022-01-05 21:37:00,2022-01-05 22:38:00,2022-01-05 22:38:00,2022-01-05 23:08:00,2022-01-05 23:08:00,2022-01-05 23:39:00,2022-01-05 23:39:00,2022-01-06 00:19:00,0.7465
2022-01-05,220105066,2022-01-05 21:20:00,2022-01-05 21:30:00,2022-01-05 21:37:00,2022-01-05 23:19:00,2022-01-05 23:19:00,2022-01-06 00:20:00,2022-01-06 00:20:00,2022-01-06 00:51:00,2022-01-06 00:51:00,2022-01-06 01:20:00,2022-01-06 01:20:00,2022-01-06 02:01:00,0.5687
2022-01-05,220105067,2022-01-05 23:00:00,2022-01-05 23:09:00,2022-01-05 23:19:00,2022-01-06 01:00:00,2022-01-06 01:00:00,2022-01-06 02:02:00,2022-01-06 02:02:00,2022-01-06 02:32:00,2022-01-06 02:32:00,2022-01-06 03:02:00,2022-01-06 03:02:00,2022-01-06 03:42:00,0.6379
2022-01-06,220106068,2022-01-06 00:40:00,2022-01-06 00:49:00,2022-01-06 01:00:00,2022-01-06 02:37:00,2022-01-06 02:37:00,2022-01-06 03:35:00,2022-01-06 03:35:00,2022-01-06 04:05:00,2022-01-06 04:05:00,2022-01-06 04:34:00,2022-01-06 04:34:00,2022-01-06 05:12:00,0.2208
2022-01-06,220106069,2022-01-06 02:20:00,2022-01-06 02:29:00,2022-01-06 02:37:00,2022-01-06 04:12:00,2022-01-06 04:12:00,2022-01-06 05:13:00,2022-01-06 05:13:00,2022-01-06 05:42:00,2022-01-06 05:42:00,2022-01-06 06:11:00,2022-01-06 06:11:00,2022-01-06 06:52:00,0.8368
2022-01-06,220106070,2022-01-06 04:00:00,2022-01-06 04:10:00,2022-01-06 04:12:00,2022-01-06 05:55:00,2022-01-06 05:55:00,2022-01-06 06:55:00,2022-01-06 06:55:00,2022-01-06 07:25:00,2022-01-06 07:25:00,2022-01-06 07:54:00,2022-01-06 07:54:00,2022-01-06 08:35:00,0.4259
2022-01-06,220106071,2022-01-06 05:40:00,2022-01-06 05:50:00,2022-01-06 05:55:00,2022-01-06 07:30:00,2022-01-06 07:30:00,2022-01-06 08:27:00,2022-01-06 08:27:00,2022-01-06 08:56:00,2022-01-06 08:56:00,2022-01-06 09:26:00,2022-01-06 09:26:00,2022-01-06 10:07:00,0.3893
2022-01-06,220106072,2022-01-06 07:20:00,2022-01-06 07:29:00,2022-01-06 07:30:00,2022-01-06 09:05:00,2022-01-06 09:05:00,2022-01-06 10:06:00,2022-01-06 10:06:00,2022-01-06 10:35:00,2022-01-06 10:35:00,2022-01-06 11:05:00,2022-01-06 11:05:00,2022-01-06 11:46:00,0.4467
2022-01-06,220106073,2022-01-06 09:00:00,2022-01-06 09:10:00,2022-01-06 09:10:00,2022-01-06 10:47:00,2022-01-06 10:47:00,2022-01-06 11:46:00,2022-01-06 11:46:00,2022-01-06 12:14:00,2022-01-06 12:14:00,2022-01-06 12:44:00,2022-01-06 12:44:00,2022-01-06 13:24:00,0.4439
2022-01-06,220106074,2022-01-06 10:40:00,2022-01-06 10:49:00,2022-01-06 10:49:00,2022-01-06 12:27:00,2022-01-06 12:27:00,2022-01-06 13:24:00,2022-01-06 13:24:00,2022-01-06 13:53:00,2022-01-06 13:53:00,2022-01-06 14:22:00,2022-01-06 14:22:00,2022-01-06 15:01:00,0.53
2022-01-06,220106075,2022-01-06 12:20:00,2022-01-06 12:29:00,2022-01-06 12:29:00,2022-01-06 14:10:00,2022-01-06 14:10:00,2022-01-06 15:12:00,2022-01-06 15:12:00,2022-01-06 15:42:00,2022-01-06 15:42:00,2022-01-06 16:11:00,2022-01-06 16:11:00,2022-01-06 16:52:00,0.4013
2022-01-06,220106076,2022-01-06 14:00:00,2022-01-06 14:09:00,2022-01-06 14:10:00,2022-01-06 15:52:00,2022-01-06 15:52:00,2022-01-06 16:51:00,2022-01-06 16:51:00,2022-01-06 17:21:00,2022-01-06 17:21:00,2022-01-06 17:51:00,2022-01-06 17:51:00,2022-01-06 18:30:00,0.7558
2022-01-06,220106077,2022-01-06 15:40:00,2022-01-06 15:50:00,2022-01-06 15:52:00,2022-01-06 17:35:00,2022-01-06 17:35:00,2022-01-06 18:34:00,2022-01-06 18:34:00,2022-01-06 19:03:00,2022-01-06 19:03:00,2022-01-06 19:33:00,2022-01-06 19:33:00,2022-01-06 20:12:00,0.4563
2022-01-06,220106078,2022-01-06 17:20:00,2022-01-06 17:30:00,2022-01-06 17:35:00,2022-01-06 19:17:00,2022-01-06 19:17:00,2022-01-06 20:16:00,2022-01-06 20:16:00,2022-01-06 20:47:00,2022-01-06 20:47:00,2022-01-06 21:17:00,2022-01-06 21:17:00,2022-01-06 21:58:00,0.5173
2022-01-06,220106079,2022-01-06 19:00:00,2022-01-06 19:09:00,2022-01-06 19:17:00,2022-01-06 20:58:00,2022-01-06 20:58:00,2022-01-06 21:55:00,2022-01-06 21:55:00,2022-01-06 22:23:00,2022-01-06 22:23:00,2022-01-06 22:51:00,2022-01-06 22:51:00,2022-01-06 23:31:00,0.3409
2022-01-06,220106080,2022-01-06 20:40:00,2022-01-06 20:49:00,2022-01-06 20:58:00,2022-01-06 22:33:00,2022-01-06 22:33:00,2022-01-06 23:31:00,2022-01-06 23:31:00,2022-01-07 00:00:00,2022-01-07 00:00:00,2022-01-07 00:29:00,2022-01-07 00:29:00,2022-01-07 01:08:00,0.4659
